nombre_estacion,cod_municipio,tipo_via,particula,nombre_via,cod_postal,cod_distrito,cod_barrio,lineas_buses
Pº INFANTA ISABEL Nº 25,79,Paseo,de la,Infanta Isabel,28014,3,-1,"10, 14, 26, 32, C1, N9, NC1"
TORPEDERO TUCUMAN-ALFONSO XIII,79,Calle,de,Torpedero Tucumán,28016,5,-1,52
Pº REINA CRISTINA-JULIAN GAYARRE,79,Paseo,de la,Reina Cristina,28014,3,-1,"10, 14, 26, 32, C2, N9, NC2"
AV.PIO XII-COMANDANTE FRANCO,79,Avda,de,Pío XII,28016,5,-1,"16, 29, 150, N1"
MQUES.DE ZAFRA-MQUES.MONDEJAR,79,Paseo,del,Marqués de Zafra,28028,4,-1,12
AV.BETANZOS-CHANTADA,79,Avda,de,Betanzos,28029,8,-1,42
JUAN ESPLANDIU Nº 9,79,Calle,de,Juan Esplandiu,28007,3,-1,215
Pº YESERIAS-ARGANDA,79,Paseo,de,Yeserías,28005,2,-1,"18, N12"
VENTISQUERO CONDESA-VALLE DE ENMEDIO,79,Avda,del,Ventisquero de la Condesa,28034,8,-1,49
OFELIA NIETO-VILLAAMIL,79,Calle,de,Ofelia Nieto,28039,6,-1,"44, 128"
PTO.CRUZ VERDE-PTO.SERRANO,79,Calle,del,Puerto de la Cruz Verde,28045,2,-1,62
EMBAJADORES-AV.PLANETARIO,79,Calle,de,Embajadores,28045,2,-1,"62, T32"
CTRA.BOADILLA MONTE-MIRLO,79,Ctra,de,Boadilla del Monte,28024,10,-1,65
Pº CASTELLANA-DANIEL VAZQUEZ DIAZ,79,Paseo,de la,Castellana,28046,5,-1,"66, 173, 174, 175, 176, 178, SE704"
NTRA.SRA.VALVERDE-ISLAS JARVI,79,Calle,de,Nuestra Señora de Valverde,28034,8,-1,"66, 137, N24, SE704"
AVDA. RAMON Y CAJAL,79,Avda,de,Ramón y Cajal,28016,5,-1,"43, 120"
VIRGEN ARANZAZU-ANGEL MUGICA,79,Calle,de la,Virgen de Aránzazu,28034,8,-1,"124, 137, N24"
Pº HABANA-CREVILLENTE,79,Paseo,de la,Habana,28036,5,-1,14
FCOS.RODRIGUEZ-ANTONIO MACHADO,79,Calle,de,Francos Rodríguez,28039,9,-1,64
MONFORTE DE LEMOS-JUNTA MUNICIPAL,79,Avda,de,Monforte de Lemos,28029,8,-1,"49, 83, 128, 132, 137, N22"
CANTALEJO-ARROYOFRESNO,79,Calle,de,Cantalejo,28035,8,-1,82
VALLE ENMEDIO-GTA.P.CORRALILLOS,79,Calle,del,Valle de Enmedio,28035,8,-1,49
CARRERA SAN FRANCISCO-SAN I.LABRADOR,79,Car,de,San Francisco,28005,1,-1,60
VENTISQUERO CONDESA-C.MINGUETE,79,Avda,del,Ventisquero de la Condesa,28034,8,-1,64
AV.JUAN HERRERA-MARTIN FIERRO,79,Avda,de,Juan de Herrera,28040,9,-1,"46, 160, 161, N20, N28"
EMBAJADORES - AVENIDA PLANETARIO,79,Calle,de,Embajadores,28045,2,-1,"62, T32"
SANTIAGO COMPOSTELA-PINTOR F.LLORENS,79,Calle,de,Santiago de Compostela,28034,8,-1,127
AV.DOCTOR ARCE-VELAZQUEZ,79,Avda,del,Doctor Arce,28002,5,-1,"16, 19"
AV.BETANZOS-CHANTADA,79,Avda,de,Betanzos,28029,8,-1,42
SAN FCO.DE SALES-GUZMAN EL BUENO,79,Paseo,de,San Francisco de Sales,28003,7,-1,"44, N21"
RONDA DE ATOCHA,79,Ronda,de,Atocha,28012,1,-1,"27, 34, 36, 41, 119, C03, C1, N12, N15, N17, NC1"
RAMIRO DE MAEZTU-Pº JUAN XXIII,79,Calle,de,Ramiro de Maeztu,28040,9,-1,"132, F"
AV.CONCHA ESPINA-SERRANO,79,Avda,de,Concha Espina,28016,5,-1,"7, 43, 120"
DR.FEDERICO RUBIO-ALMANSA,79,Avda,del,Doctor Federico Rubio y Galí,28039,6,-1,"44, 127, N21"
Pº PRADO-BANCO DE ESPAÑA,79,Paseo,del,Prado,28014,1,-1,"1, 14, 27, 37, 45, C03, N13, N14"
GTA.SAN ANTONIO DE LA FLORIDA,79,Paseo,de la,Florida,28008,9,-1,"41, 46, 75, N20"
AV.BETANZOS-LA BAÑEZA,79,Avda,de,Betanzos,28029,8,-1,"42, 49, 126, 128, 147"
DARIO APARICIO-VIÑAS PARDO,79,Calle,de,Darío Aparicio,28023,9,-1,161
VALLEHERMOSO Nº 110,79,Calle,de,Vallehermoso,28003,7,-1,2
GRAL. AMPUDIA,79,Calle,del,General Ampudia,28003,7,-1,2
Pº YESERIAS-PQUE.ARGANZUELA,79,Paseo,de,Yeserías,28005,2,-1,"18, N12"
Pº HABANA-ALBERTO ALCOCER,79,Paseo,de la,Habana,28036,5,-1,14
Pº CHOPERA-PZA.GRAL.MAROTO,79,Paseo,de la,Chopera,28045,2,-1,"6, 18, 78, 148, N12, N14"
GRAL.PERON-ORENSE,79,Avda,del,General Perón,28020,6,-1,"43, 149"
ROSARIO PINO-CAPITAN HAYA,79,Calle,de,Rosario Pino,28020,6,-1,149
AV.RAMON Y CAJAL-MOSTOLES,79,Avda,de,Ramón y Cajal,28016,5,-1,"43, 120"
AV.RAMON Y CAJAL-V.DE LA SERNA,79,Avda,de,Ramón y Cajal,28016,5,-1,"43, 120"
ALBERTO ALCOCER-Pº DE LA HABANA,79,Calle,de,Alberto Alcocer,28036,5,-1,"11, 40"
LOS ASTROS-CRUZ DEL SUR,79,Calle,de los,Astros,28007,3,-1,"20, 30, 32, N8"
Pº IMPERIAL-GTA.PIRAMIDES,79,Paseo,NaN,Imperial,28005,2,-1,"36, 62"
ANTONIO MACHADO-VALDERREY,79,Calle,de,Antonio Machado,28035,9,-1,"127, 132, N21"
CANTALEJO-CHAPINERIA,79,Calle,de,Cantalejo,28035,8,-1,82
DR.FEDERICO RUBIO-JERONIMA LLORENTE,79,Avda,del,Doctor Federico Rubio y Galí,28039,6,-1,"44, 127, N21"
OFELIA NIETO-VILLAAMIL,79,Calle,de,Ofelia Nieto,28039,9,-1,"44, 128"
AV.DE VALLADOLID Nº 9,79,Avda,de,Valladolid,28008,9,-1,46
DR.ESQUERDO-IBIZA,79,Calle,del,Doctor Esquerdo,28009,3,-1,"2, 30, 56, 143, 156"
LOS ASTROS-CRUZ DEL SUR,79,Calle,de los,Astros,28007,3,-1,"20, 30, N8"
NURIA-PEÑA SIRIO,79,Calle,de,Nuria,28034,8,-1,"133, N23"
STO.A.DE LA GUARDA-GRAL.HIERRO MTNEZ.,79,Avda,de,Santo Ángel de la Guarda,28039,9,-1,"126, 127, 132, N21"
AV.BURGOS Nº 30,79,Avda,de,Burgos,28036,5,-1,"129, 150"
AVDA. ALFONSO XIII,79,Avda,de,Alfonso XIII,28016,5,-1,40
NTRA.SRA.VALVERDE-ISLAS JARVI,79,Calle,de,Nuestra Señora de Valverde,28034,8,-1,"66, 137, N24, SE704"
AVDA. RAMON Y CAJAL,79,Avda,de,Ramón y Cajal,28016,5,-1,"43, 120"
JUAN ESPLANDIU Nº 9,79,Calle,de,Juan Esplandiu,28007,3,-1,215
AV.LOS TOREROS-VILLAFRANCA,79,Avda,de los,Toreros,28028,4,-1,"53, 74"
AV.CDAD.BARCELONA-LUIS MITJANS,79,Avda,de la,Ciudad de Barcelona,28007,3,-1,"8, 10, 24, 37, 54, 56, 57, 136, 141, 310"
GRAL.ALVAREZ CASTRO-ELOY GONZALO,79,Calle,del,General Álvarez de Castro,28010,7,-1,149
PZA.DEL PERU,79,Plaza,del,Perú,28016,5,-1,51
GRAL.MTNEZ.CAMPOS-FDEZ.DE LA HOZ,79,Paseo,del,General Martínez Campos,28010,7,-1,"5, 16, 61"
AV.PLANETARIO-EMBAJADORES,79,Avda,del,Planetario,28045,2,-1,"148, 156, N13"
CERRO MINGUETE-RISCOS DE POLANCO,79,Calle,del,Cerro Minguete,28035,8,-1,"49, N21"
Pº ACACIAS-Pº OLMOS,79,Paseo,de las,Acacias,28005,2,-1,"34, 36, 62, 116, 118, 119, N12, N15"
PTO.BEJAR-PTO.MIRAVETE,79,Calle,del,Puerto de Béjar,28045,2,-1,62
AV.VALDEMARIN-FUENTE DEL MOLINO,79,Avda,de,Valdemarín,28023,9,-1,161
AV.VALDEMARIN-CABELLERA BERENICE,79,Avda,de,Valdemarín,28023,9,-1,161
AV.VALDEMARIN-LAVADERO,79,Avda,de,Valdemarín,28023,9,-1,161
Pº YESERIAS-ARGANDA,79,Paseo,de,Yeserías,28005,2,-1,"18, N12"
ANA TERESA-PLEYADES,79,Calle,de,Ana Teresa,28023,9,-1,"160, 161, N28"
GRAL.AMPUDIA Nº 18,79,Calle,del,General Ampudia,28003,7,-1,2
RIBADAVIA Nº 12,79,Calle,de,Ribadavia,28029,8,-1,42
PZA.SAN FRANCISCO-BAILEN,79,Calle,de,Bailén,28005,1,-1,"3, 148, M3, N16"
RETAMA-OMBU,79,Calle,de la,Retama,28045,2,-1,"113, 148"
AV.ALFONSO XIII-AV.ALHELIES,79,Avda,de,Alfonso XIII,28016,5,-1,40
LOPEZ DE HOYOS-PANTOJA,79,Calle,de,López de Hoyos,28002,5,-1,"9, 73, N2"
AV.CDAD.BARCELONA Nº 6,79,Avda,de la,Ciudad de Barcelona,28007,2,-1,"24, 37, 54, 57, 102, 141"
ALFONSO XII-ANTONIO MAURA,79,Calle,de,Alfonso XII,28014,3,-1,19
Pº HABANA-HONDURAS,79,Paseo,de la,Habana,28036,5,-1,14
PZA.DUQUE DE PASTRANA,79,Plaza,del,Duque de Pastrana,28036,5,-1,"14, 129"
CINCA-SERRANO,79,Calle,del,Cinca,28002,5,-1,"7, 51"
ROBERTO DOMINGO-AV.DONOSTIARRA,79,Calle,de,Roberto Domingo,28028,4,-1,21
Pº REINA CRISTINA-ANDRES TORREJON,79,Paseo,de la,Reina Cristina,28014,3,-1,"10, 14, 26, 32, C2, N9, NC2"
CAVANILLES-PZA.MARIANO CAVIA,79,Calle,de,Cavanilles,28007,3,-1,10
AVDA. CANILLEJAS A VICALVARO,79,Avda,de,Canillejas a Vicálvaro,28032,20,-1,"4, 106, 159"
AV.CDAD.BARCELONA-JUAN URBIETA,79,Avda,de la,Ciudad de Barcelona,28007,3,-1,"24, 37, 54, 57, 141"
GRAL.MTNEZ.CAMPOS-FDEZ.DE LA HOZ,79,Paseo,del,General Martínez Campos,28010,7,-1,"5, 16, 61"
CAIDOS DIVISION AZUL-CTE.FRANCO,79,Calle,de los,Caídos de la División Azul,28016,5,-1,"29, 70, 107, N1"
GOLONDRINA-RIO ARLANZON,79,Calle,de la,Golondrina,28023,9,-1,"160, 161, 163, N28"
Pº CASTELLANA Nº 292-HOSPITAL LA PAZ,79,Paseo,de la,Castellana,28046,5,-1,"173, 174, 175, 176, 178"
CANTALEJO-ARROYOFRESNO,79,Calle,de,Cantalejo,28035,8,-1,82
GABRIELA MISTRAL-L.ALAS CLARIN,79,Calle,de,Gabriela Mistral,28035,8,-1,82
EVARISTO SAN MIGUEL-MARTIN DE LOS HEROS,79,Calle,de,Evaristo San Miguel,28008,9,-1,74
PZA.BEATA MARIA ANA DE JESUS,79,Plaza,de la,Beata María Ana de Jesús,28045,2,-1,76
PZA.DE LOS TRES OLIVOS,79,Plaza,de los,Tres Olivos,28034,8,-1,"66, 137"
AV.PUERTA DE HIERRO-FILOSOFIA B,79,Avda,de,Puerta de Hierro,28040,9,-1,"83, 133, 162"
Pº PRADO-PZA.MURILLO,79,Paseo,del,Prado,28014,3,-1,"1, 10, 14, 27, 34, 37, 45, C03, N10, N11, N12, N13, N14, N15, N17, N25, N26, N9"
PZA.CANOVAS DEL CASTILLO,79,Plaza,de,Cánovas del Castillo,28014,3,-1,"1, 10, 14, 27, 34, 37, 45, C03, N10, N11, N12, N13, N14, N15, N17, N25, N26, N9"
GRAL.MARTINEZ CAMPOS-ZURBANO,79,Paseo,del,General Martínez Campos,28010,7,-1,"5, 16, 61"
AV.C.HERRERA ORIA-FUENTEMILANOS,79,Avda,del,Cardenal Herrera Oria,28035,8,-1,"83, 133"
MONFORTE DE LEMOS-JUNTA MUNICIPAL,79,Avda,de,Monforte de Lemos,28029,8,-1,"49, 83, 128, 132, 137, N22"
PEDRO RICO-FINISTERRE,79,Calle,de,Pedro Rico,28029,8,-1,"83, 132"
IBIZA-MAIQUEZ,79,Calle,de,Ibiza,28009,3,-1,"2, N8"
Pº JUAN XXIII-BEATRIZ BOBADILLA,79,Paseo,de,Juan XXIII,28040,9,-1,C2
AZCONA-VILLAFRANCA,79,Calle,de,Azcona,28028,4,-1,"43, 48, N3"
AV.PIO XII-PZA.PERU,79,Avda,de,Pío XII,28016,5,-1,"16, 29"
RIBERA MANZANARES Nº 125,79,Calle,de la,Ribera del Manzanares,28008,9,-1,"41, 75"
COMANDANTE FORTEA-FELIPE MORATILLA,79,Paseo,del,Comandante Fortea,28008,9,-1,"41, 75"
GTA.SAN ANTONIO DE LA FLORIDA,79,Paseo,de la,Florida,28008,9,-1,"41, 46, 75, N20"
PZA.PERU-AV.PIO XII,79,Plaza,del,Perú,28016,5,-1,150
AVDA. VALLADOLID,79,Avda,de,Valladolid,28008,9,-1,46
AVDA. VALLADOLID,79,Calle,de,Loeches,28008,9,-1,46
AV.VALLADOLID-BRIGADA TRAFICO,79,Avda,de,Valladolid,28008,9,-1,"46, N20"
SAINZ DE BARANDA-NARVAEZ,79,Calle,del,Alcalde Sáinz de Baranda,28009,3,-1,"2, 15, 215"
ATOCHA-COSTANILLA DESAMPARADOS,79,Calle,de,Atocha,28014,1,-1,"6, 26, 32"
AV.DOCTOR ARCE-VELAZQUEZ,79,Avda,del,Doctor Arce,28002,5,-1,7
PTO.CRUZ VERDE-PTO.MIRAVETE,79,Calle,del,Puerto de la Cruz Verde,28045,2,-1,62
ALCALDE MARTIN ALZAGA-ARTAJONA,79,Calle,del,Alcalde Martín de Alzaga,28039,9,-1,"126, 127, 132, N21"
JOAQUIN COSTA-GTA.LOPEZ HOYOS,79,Calle,de,Joaquín Costa,28002,5,-1,C2
AMOREBIETA-DEUSTO,79,Calle,de,Amorebieta,28023,9,-1,162
SAN FCO.DE SALES-ANDRES MELLADO,79,Paseo,de,San Francisco de Sales,28003,7,-1,"12, 44"
AVDA. VALLADOLID,79,Avda,de,Valladolid,28008,9,-1,46
CAIDOS DIVISION AZUL-AV.PIO XII,79,Calle,de los,Caídos de la División Azul,28016,5,-1,"70, 107"
LLANO CASTELLANO-ISLA DE JAVA,79,Avda,del,Llano Castellano,28034,8,-1,"66, 124, 137, N24, SE704"
CORAZON DE MARIA-STA.HORTENSIA,79,Calle,de,Corazón de María,28002,5,-1,"43, 72"
CONDE DE PEÑALVER-HERMOSILLA,79,Calle,del,Conde de Peñalver,28006,4,-1,"26, 61"
CONDE DE PEÑALVER-AYALA,79,Calle,del,Conde de Peñalver,28006,4,-1,"26, 61, N3"
FCOS.RODRIGUEZ-INST.VIRGEN DE LA PALOMA,79,Calle,de,Francos Rodríguez,28039,9,-1,64
Pº HABANA-MACARENA,79,Paseo,de la,Habana,28036,5,-1,14
MQUES.DE ZAFRA-RUFINO BLANCO,79,Paseo,del,Marqués de Zafra,28028,4,-1,12
GRAL.ALVAREZ CASTRO-Gª PAREDES,79,Calle,del,General Álvarez de Castro,28010,7,-1,149
AV.MEDITERRANEO-PZA.MARIANO CAVIA,79,Avda,del,Mediterráneo,28007,3,-1,"14, 32, N9, NC1"
Pº HABANA-BALBINA VALVERDE,79,Paseo,de la,Habana,28036,5,-1,14
Pº HABANA-PZA.SAGRADOS CORAZONES,79,Paseo,de la,Habana,28036,5,-1,14
CARTAGENA-AZCONA,79,Plaza,de,San Cayetano,28028,4,-1,1
AV.LOS TOREROS-FCO.SILVELA,79,Avda,de los,Toreros,28028,4,-1,"1, 74"
MENENDEZ PELAYO-PZA.MARIANO CAVIA,79,Avda,de,Menéndez Pelayo,28014,3,-1,"26, 152, C1"
GRAL.ALVAREZ CASTRO-ELOY GONZALO,79,Calle,del,General Álvarez de Castro,28010,7,-1,3
GRAN VIA SAN FRANCISCO-AGUILA,79,G.v.,de,San Francisco,28005,1,-1,"3, 60, 148, M3"
AV.MEDITERRANEO-PZA.MARIANO CAVIA,79,Avda,del,Mediterráneo,28007,3,-1,"14, 32, 63, N9, NC2"
PUERTO RICO,79,Calle,de,Puerto Rico,28016,5,-1,52
Pº ACACIAS-GTA.EMBAJADORES,79,Paseo,de las,Acacias,28005,2,-1,"34, 36, 119, N12, N15"
Pº FLORIDA Nº 16,79,Paseo,de la,Florida,28008,9,-1,"41, 46, 75"
AV.VALLADOLID-PTE.FRANCESES,79,Avda,de,Valladolid,28008,9,-1,"46, N20"
PRINCIPE DE VERGARA-AYALA,79,Calle,del,Príncipe de Vergara,28001,4,-1,"29, 52, N2"
ALFONSO XIII-PZA.PRESIDENTE CARDENAS,79,Avda,de,Alfonso XIII,28016,5,-1,150
JUAN ESPLANDIU-SAINZ BARANDA,79,Calle,de,Juan Esplandiu,28007,3,-1,215
FACULTAD DE BIOLOGICAS,79,Calle,de,José Antonio Novais,28040,9,-1,"132, F"
PARANINFO-AV.COMPLUTENSE,79,Calle,del,Profesor Aranguren,28040,9,-1,F
Pº YESERIAS-MELILLA,79,Paseo,de,Yeserías,28005,2,-1,"18, N12"
MENENDEZ PELAYO-PZA.MARIANO CAVIA,79,Avda,de,Menéndez Pelayo,28007,3,-1,"26, 63, 152, C2"
GRAL.ALVAREZ CASTRO-VIRIATO,79,Calle,del,General Álvarez de Castro,28010,7,-1,3
PZA.NIÑO JESUS,79,Plaza,del,Niño Jesús,28007,3,-1,20
ALBERTO ALCOCER-PADRE DAMIAN,79,Calle,de,Alberto Alcocer,28036,5,-1,"11, 40"
EDUARDO DATO-ZURBANO,79,Paseo,de,Eduardo Dato,28010,7,-1,"40, 147"
COSTA RICA-PZA.JOSE MARIA SOLER,79,Calle,de,Costa Rica,28016,5,-1,"7, 11, 40, 87"
AV.DOCTOR ARCE-VELAZQUEZ,79,Avda,del,Doctor Arce,28002,5,-1,"16, 19, 51, N1"
MONFORTE DE LEMOS-PARQUE NORTE,79,Avda,de,Monforte de Lemos,28029,8,-1,"134, 137"
NTRA.SRA.VALVERDE-MANUEL VILLARTA,79,Calle,de,Nuestra Señora de Valverde,28034,8,-1,"66, 137, N24, SE704"
LLANO CASTELLANO-FCO.SANCHA,79,Avda,del,Llano Castellano,28034,8,-1,"66, 124, 137, N24, SE704"
Pº IMPERIAL-Pº PONTONES,79,Paseo,NaN,Imperial,28005,2,-1,"36, 62"
AV.TOREROS-CAMPANAR,79,Avda,de los,Toreros,28028,4,-1,74
GUECHO-IBAIONDO,79,Calle,de,Guecho,28023,9,-1,162
ALBERTO ALCOCER-Pº DE LA HABANA,79,Calle,de,Alberto Alcocer,28036,5,-1,"11, 40"
FERMIN CABALLERO-ISLA DE TABARCA,79,Calle,de,Fermín Caballero,28035,8,-1,"67, 127, N21"
STO.A.DE LA GUARDA-GRAL.HIERRO MTNEZ.,79,Avda,de,Santo Ángel de la Guarda,28039,9,-1,"126, 127, 132, N21"
AV.ALFONSO XIII-PRADILLO,79,Avda,de,Alfonso XIII,28002,5,-1,"40, 43"
AV.ALFONSO XIII-AV.ALHELIES,79,Avda,de,Alfonso XIII,28016,5,-1,40
AV.ALFONSO XIII-AV.ASTER,79,Avda,de,Alfonso XIII,28016,5,-1,40
MENENDEZ PELAYO-PZA.NIÑO JESUS,79,Avda,de,Menéndez Pelayo,28007,3,-1,"26, 63, 152, C2"
CONDE DE PEÑALVER-AYALA,79,Calle,del,Conde de Peñalver,28006,4,-1,"26, 61, N3"
GRAL.MARTINEZ CAMPOS-ZURBANO,79,Paseo,del,General Martínez Campos,28010,7,-1,"5, 16, 61"
PASEO YESERIAS-PARQUE ARGANZUELA,79,Paseo,de,Yeserías,28005,2,-1,"18, N12"
DR.FEDERICO RUBIO Y GALI-AV.PABLO IGLESIAS,79,Avda,del,Doctor Federico Rubio y Galí,28040,9,-1,44
DR.FEDERICO RUBIO-JERONIMA LLORENTE,79,Avda,del,Doctor Federico Rubio y Galí,28039,6,-1,"44, 127, N21"
DR.FEDERICO RUBIO-ABEL,79,Avda,del,Doctor Federico Rubio y Galí,28039,6,-1,"44, 127"
SAN FCO.DE SALES-GUZMAN EL BUENO,79,Paseo,de,San Francisco de Sales,28003,7,-1,"44, N21"
JUAN ESPLANDIU,79,Calle,de,Juan Esplandiu,28007,3,-1,215
CAVANILLES-PZA.MARIANO CAVIA,79,Calle,de,Cavanilles,28007,3,-1,10
JUAN ESPLANDIU Nº 4,79,Calle,de,Juan Esplandiu,28007,3,-1,215
ISLA MALAITA-CESAR MANRIQUE,79,Calle,de la,Isla Malaita,28035,8,-1,137
Pº CASTELLANA-ROSARIO PINO,79,Paseo,de la,Castellana,28046,6,-1,"5, 27, 147, N22, N24"
DR.FEDERICO RUBIO-ALMANSA,79,Avda,del,Doctor Federico Rubio y Galí,28039,6,-1,"44, 127, N21"
DR.FEDERICO RUBIO-FCO.DIEGO,79,Avda,del,Doctor Federico Rubio y Galí,28040,9,-1,44
AV.RAMON Y CAJAL-MOSTOLES,79,Avda,de,Ramón y Cajal,28016,5,-1,"43, 120"
MONFORTE DE LEMOS Nº 163,79,Avda,de,Monforte de Lemos,28029,8,-1,"126, 132, 137, 147"
AV.BETANZOS-LA BAÑEZA,79,Avda,de,Betanzos,28029,8,-1,"42, 49, 126, 128, 147"
Pº CHOPERA-Pº STA.Mª DE LA CABEZA,79,Paseo,de la,Chopera,28045,2,-1,"18, 62, N12"
CARTAGENA-ERASO,79,Plaza,de,San Cayetano,28028,4,-1,1
AVDA. MARTIN FIERRO,79,Calle,de,Martín Fierro,28040,9,-1,"46, 160, 161, N20"
ALBERTO ALCOCER-PADRE DAMIAN,79,Calle,de,Alberto Alcocer,28036,5,-1,"11, 40"
Pº REINA CRISTINA-ANDRES TORREJON,79,Paseo,de la,Reina Cristina,28014,3,-1,"10, 14, 26, 32, C1, N9, NC1"
CTA.SAN VICENTE-ARRIAZA,79,Custa,de,San Vicente,28008,9,-1,"25, 39, 46, 62, 75, 138, C2"
ALFONSO XIII-PZA.PRESIDENTE CARDENAS,79,Avda,de,Alfonso XIII,28016,5,-1,150
Pº DELICIAS-ALEJANDRO FERRANT,79,Paseo,de las,Delicias,28045,2,-1,"8, 19, 45, 47, 59, 85, 86, 247"
AV.PIO XII-PZA.PERU,79,Avda,de,Pío XII,28016,5,-1,"16, 29, 150, N1"
Pº HABANA-JEREZ,79,Paseo,de la,Habana,28036,5,-1,14
Pº HABANA-JEREZ,79,Paseo,de la,Habana,28036,5,-1,14
Pº PONTONES-Pº IMPERIAL,79,Paseo,de,Pontones,28005,2,-1,"17, 41, N16"
AV.PIO XII-COMANDANTE FRANCO,79,Avda,de,Pío XII,28016,5,-1,"16, 29, 150, N1"
Pº ACACIAS-Pº OLMOS,79,Paseo,de las,Acacias,28005,2,-1,"34, 36, 62, 116, 118, 119, N12, N15"
VELAZQUEZ-VILLANUEVA,79,Calle,de,Velázquez,28001,4,-1,"1, 9, 19, 51, 74"
DR.FEDERICO RUBIO-ABEL,79,Avda,del,Doctor Federico Rubio y Galí,28039,6,-1,"44, 127"
DR.FEDERICO RUBIO-FCO.DE DIEGO,79,Avda,del,Doctor Federico Rubio y Galí,28040,9,-1,44
GRAL.MTNEZ.CAMPOS-FORTUNY,79,Paseo,del,General Martínez Campos,28010,7,-1,"5, 16, 61"
DOCTOR RAMON CASTROVIEJO,79,Calle,del,Doctor Ramón Castroviejo,28035,8,-1,"42, 137"
FRENTE N. 20,79,Calle,de,Alfonso XII,28014,3,-1,19
JOAQUIN COSTA-N.MINISTERIOS,79,Calle,de,Joaquín Costa,28002,5,1,"7, C2"
GOYA-SERRANO,79,Calle,de,Goya,28001,4,1,"21, 53"
BRAVO MURILLO-CAROLINAS,79,Calle,de,Bravo Murillo,28020,6,1,"3, 64, 66, 124, 128"
LOPEZ DE HOYOS-FCO.SILVELA,79,Calle,de,López de Hoyos,28006,5,1,9
SERRANO-MARIA DE MOLINA,79,Calle,de,Serrano,28006,5,1,"9, 16, 19, 51, N1"
JUAN DUQUE-MORENO NIETO,79,Calle,de,Juan Duque,28005,2,1,"36, 50"
SERRANO-SEGRE,79,Calle,de,Serrano,28002,5,1,"7, 51, N1"
FERNANDO EL CATOLICO-G.EL BUENO,79,Calle,de,Fernando el Católico,28015,7,1,"16, 61"
GOYA-PRINCIPE VERGARA,79,Calle,de,Goya,28001,4,1,"21, 53"
O DONNELL-AV.MENENDEZ PELAYO,79,Calle,de,O'Donnell,28009,4,1,"2, 20, 28, N6, N8"
JOAQUIN COSTA-PZA.REP.ARGENTINA,79,Calle,de,Joaquín Costa,28002,5,1,"7, C2, NC2"
TOLEDO-LA LATINA,79,Calle,de,Toledo,28005,1,1,"2, 17, 18, 23, 35, M3, N26"
TOLEDO Nº 140,79,Calle,de,Toledo,28005,2,1,"18, 23, 35, N26"
GUZMAN EL BUENO-MELENDEZ VALDES,79,Calle,de,Guzmán el Bueno,28015,7,1,2
FCOS.RODRIGUEZ-MARGARITAS,79,Calle,de,Francos Rodríguez,28039,6,1,"64, 126, 128"
CAVANILLES-ABTAO,79,Calle,de,Cavanilles,28007,3,1,10
FCO.SILVELA-PRINCIPE VERGARA,79,Calle,de,Francisco Silvela,28002,5,1,"C2, NC2"
VELAZQUEZ-AYALA,79,Calle,de,Velázquez,28001,4,1,"1, 9, 19, 51, 74"
CAVANILLES-ABTAO,79,Parti,de,Cavanilles,28007,3,1,10
DR.ESQUERDO-CAVANILLES,79,Calle,del,Doctor Esquerdo,28007,3,1,"10, 56, 156"
JUAN DUQUE-PIZARRA,79,Calle,de,Juan Duque,28005,2,1,"36, 50"
PRINCESA-HILARION ESLAVA,79,Calle,de la,Princesa,28008,7,1,"1, 1, 44, 133, 138, C1, N21, NC1"
PRINCIPE DE VERGARA-MARIA DE MOLINA,79,Calle,del,Príncipe de Vergara,28006,5,1,"29, 52, N2"
SERRANO-GOYA,79,Calle,de,Serrano,28001,4,1,"1, 9, 19, 51, 74, N4"
SERRANO-PZA.REP.ARGENTINA,79,Calle,de,Serrano,28006,5,1,"16, 19, 51, N1"
VELAZQUEZ-JOAQUIN COSTA,79,Calle,de,Velázquez,28006,5,1,"16, 19, 51"
PRINCIPE DE VERGARA-GOYA,79,Calle,del,Príncipe de Vergara,28001,4,1,"29, 52, N2"
PRINCIPE DE VERGARA-FRANCISCO SILVELA,79,Calle,del,Príncipe de Vergara,28002,5,1,"29, 52"
GUZMAN EL BUENO-ALBERTO AGUILERA,79,Calle,de,Guzmán el Bueno,28015,7,1,2
VELAZQUEZ Nº 150,79,Calle,de,Velázquez,28002,5,1,"16, 19, 51, N1"
SERRANO-GUADIANA,79,Calle,de,Serrano,28002,5,1,"7, 51, N1"
CAVANILLES-DR.ESQUERDO,79,Calle,de,Cavanilles,28007,3,1,10
FDEZ.DE LOS RIOS-GUZMAN EL BUENO,79,Calle,de,Fernández de los Ríos,28015,7,1,"16, 61"
TOLEDO-PUERTA DE TOLEDO,79,Calle,de,Toledo,28005,2,1,"18, 23, 35, N26"
GOYA-FERNAN GONZALEZ,79,Calle,de,Goya,28009,4,2,"30, E4"
LOPEZ DE HOYOS-PADRE CLARET,79,Calle,de,López de Hoyos,28002,5,2,"9, 72, 73, N2"
DR.ESQUERDO-PZA.CONDE CASAL,79,Calle,del,Doctor Esquerdo,28007,3,2,"56, 156"
CORAZON DE MARIA-STA.RITA,79,Calle,de,Corazón de María,28002,5,2,43
CLARA DEL REY-CARDENAL SILICEO,79,Calle,de,Clara del Rey,28002,5,2,72
CLARA DEL REY-ANASTASIO AROCA,79,Calle,de,Clara del Rey,28002,5,2,72
