cod_municipio,municipio,cod_distrito,distrito,cod_barrio,barrio,codigo_Postal,num_personas,num_personas_hombres,num_personas_mujeres,lineas_metro,salidas_metro,estaciones_metroligero,estaciones_cercanias,estacion_bus_urbano,num_lineas_buses,Renta neta media por persona,Renta neta media por hogar,Mediana de la renta por unidad de consumo,Renta bruta media por persona,Renta bruta media por hogar,Habitantes,Hogares,Tamaño medio del hogar,Tamaño del hogar (Nº de personas en la vivienda),hog_con_1,hog_con_2,hog_con_3,hog_con_4,hog_con_5,hog_con_6,hog_con_7,hog_con_8,hog_con_9,hog_con_10,hog_con_11,hog_con_12,hog_con_13,hog_con_14,hog_con_15 y más,Comercio y Servicios Minoristas,Entretenimiento y Ocio,Hostelería y Restauración,"Salud, Bienestar y Educación",Servicios Profesionales y Consultoría,Cultura y Entretenimiento
28079,Madrid,16,hortaleza,16,hortaleza,,198.391,94.1,104.291,2.0,9.0,6.0,1.0,325.0,,21.766,57.506,26.95,29.047,76.741,198.391,74.74,"2,65",19.312,20.136,14.86,13.43,4.488,1.448,565.0,235.0,110.0,61.0,38.0,13.0,8.0,4.0,32.0,32.0,,,,,,
28079,Madrid,17,villaverde,17,villaverde,,159.038,76.131,82.907,1.0,4.0,,5.0,193.0,,11.563,32.527,15.75,13.604,38.269,159.038,56.346,"2,82",14.009,14.776,10.987,9.059,3.65,1.809,889.0,521.0,299.0,154.0,78.0,50.0,22.0,15.0,28.0,28.0,,,,,,
28079,Madrid,18,villa de vallecas,18,villa de vallecas,,117.501,56.726,60.775,1.0,5.0,,1.0,158.0,,14.274,36.998,19.25,17.346,44.96,117.501,45.035,"2,61",12.37,11.967,9.219,7.657,2.125,834.0,406.0,211.0,122.0,49.0,27.0,23.0,10.0,4.0,11.0,11.0,,,,,,
28079,Madrid,19,vicalvaro,19,vicalvaro,,83.804,40.58,43.224,1.0,4.0,,1.0,138.0,,14.832,39.505,20.65,18.214,48.513,83.804,31.143,"2,69",7.582,8.242,6.781,5.93,1.519,562.0,248.0,137.0,57.0,27.0,23.0,14.0,6.0,1.0,14.0,14.0,,,,,,
28079,Madrid,20,san blas-canillejas,20,san blas-canillejas,,161.219,76.154,85.065,3.0,10.0,,,275.0,,15.902,41.474,19.95,19.768,51.558,161.219,61.374,"2,63",16.71,16.509,12.399,10.322,3.089,1.171,579.0,284.0,141.0,66.0,44.0,26.0,4.0,4.0,26.0,26.0,,,,,,
28079,Madrid,21,barajas,21,barajas,,48.646,23.332,25.314,2.0,6.0,,2.0,144.0,,20.788,54.343,26.95,27.125,70.909,48.646,18.518,"2,63",4.694,5.048,3.827,3.437,1.001,290.0,113.0,44.0,39.0,12.0,3.0,3.0,0.0,0.0,7.0,7.0,,,,,,
28079,Madrid,1,centro,11,palacio,28013.0,23.501,11.557,11.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,30.0,0.0,0.0,0.0
28079,Madrid,1,centro,12,embajadores,28012.0,46.204,24.094,22.11,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,23.0,0.0,3.0,0.0
28079,Madrid,1,centro,13,cortes,28014.0,10.816,5.35,5.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,2.0,0.0,1.0,0.0
28079,Madrid,1,centro,14,justicia,28004.0,18.219,9.261,8.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,30.0,0.0,2.0,0.0
28079,Madrid,1,centro,15,universidad,28015.0,32.783,16.269,16.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,8.0,2.0,8.0,0.0
