cod_municipio;municipio;cod_distrito;distrito;cod_barrio;barrio;codigo_Postal;num_personas;num_personas_hombres;num_personas_mujeres;total_transacciones;viv_nuevas_transacciones;viv_usadas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;num_lineas_buses;Renta neta media por persona;Renta neta media por hogar;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar;Habitantes;Hogares;Tamaño medio del hogar;Tamaño del hogar (Nº de personas en la vivienda);hog_con_1;hog_con_2;hog_con_3;hog_con_4;hog_con_5;hog_con_6;hog_con_7;hog_con_8;hog_con_9;hog_con_10;hog_con_11;hog_con_12;hog_con_13;hog_con_14;hog_con_15 y más
28079;Madrid;19; Vicálvaro;; Vicálvaro;;83.804;40.580;43.224;1.647;1.198;449;1;4;;1;138;;14.832;39.505;20.650;18.214;48.513;83.804;31.143;2,69;7.582;8.242;6.781;5.930;1.519;562;248;137;57;27;23;14;6;1;14;14
28079;Madrid;20; San Blas-Canillejas;; San Blas-Canillejas;;161.219;76.154;85.065;2.130;549;1.581;3;10;;;275;;15.902;41.474;19.950;19.768;51.558;161.219;61.374;2,63;16.710;16.509;12.399;10.322;3.089;1.171;579;284;141;66;44;26;4;4;26;26
28079;Madrid;21; Barajas;; Barajas;;48.646;23.332;25.314;412;61;351;2;6;;2;144;;20.788;54.343;26.950;27.125;70.909;48.646;18.518;2,63;4.694;5.048;3.827;3.437;1.001;290;113;44;39;12;3;3;0;0;7;7
28079;Madrid;1; Centro;11;Palacio;28013;23.501;11.557;11.944;258;33;225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;1; Centro;12;Embajadores;28012;46.204;24.094;22.110;750;9;741;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;1; Centro;13;Cortes;28014;10.816;5.350;5.466;180;0;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;1; Centro;14;Justicia;28004;18.219;9.261;8.958;323;0;323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;1; Centro;15;Universidad;28015;32.783;16.269;16.514;613;30;583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;1; Centro;16;Sol;28013;8.164;4.239;3.925;123;9;114;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;2; Arganzuela;21;Imperial;28005;22.385;10.421;11.964;153;18;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;2; Arganzuela;22;Acacias;28005;36.069;16.616;19.453;217;15;202;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;2; Arganzuela;23;Chopera;28045;19.761;8.992;10.769;191;9;182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;2; Arganzuela;24;Legazpi;28045;19.468;9.508;9.960;173;51;122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;2; Arganzuela;25;Delicias;28045;28.575;13.463;15.112;246;18;228;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;2; Arganzuela;26;PalosdeMoguer;28045;25.097;11.797;13.300;332;22;310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;2; Arganzuela;27;Atocha;28045;1.949;957;992;5;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;3; Retiro;31;Pacífico;28007;33.027;14.809;18.218;329;5;324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;3; Retiro;32;Adelfas;28007;18.832;8.699;10.133;117;1;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;3; Retiro;33;Estrella;28007;22.649;10.393;12.256;147;1;146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;3; Retiro;34;Ibiza;28009;21.492;9.568;11.924;257;0;257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;3; Retiro;35;LosJerónimos;28014;6.825;3.177;3.648;82;0;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;3; Retiro;36;NiñoJesús;28009;15.093;6.812;8.281;124;0;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;4; Salamanca;41;Recoletos;28001;15.444;6.966;8.478;243;8;235;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;4; Salamanca;42;Goya;28001;29.477;12.872;16.605;478;4;474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;4; Salamanca;43;FuentedelBerro;28028;20.929;9.129;11.800;255;1;254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
