precio,descuento,m2_constr,cod_distrito,cod_barrio,letrace,tipologia,estado,amueblado,planta,dormitorios,banos,terraza,garaje,trastero,ascensor,porteria,calefaccion,ano_construccion,plantas_edificio,aire_acondicionado,jardin,inmueble_ingresos,alquiler_opcion_a_compra,disponibilidad,nuda_propiedad,tipo_inmueble,tiene_armario,cancha_tenis,carpinteria_exterior_doble_vidrio/pvc,carpinteria_exterior_doble_vidrio/madera,carpinteria_exterior_doble_vidrio/metal,carpinteria_exterior_triple_vidrio/madera,carpinteria_exterior_triple_vidrio/metal,carpinteria_exterior_vidrio/pvc,carpinteria_exterior_vidrio/madera,carpinteria_exterior_vidrio/metal,chimenea,cocina,exterior,interior,interior_y_exterior,tiene_piscina,porton_electrico,puerta_blindada,alarma,videoportero,lujosa,acceso_discapacidad,web,fecha_descarga,certificado_energetico,piscina,tiene_jardin,cantidad_visitas,campo12,cantidad_armarios,consumo_energia,cal_energetica,agua_caliente,tipo_suelo,m2_utiles,gastos_comunidad,zonas_verdes,puerta_seguridad,num_plantas,num_pisos,reservado,tipo_fachada,orientacion_este,orientacion_norte,orientacion_oeste,orientacion_sur,sistema_alarma,grupo_cocina,clasificacion_aire,letra_ce
1150000.0,,260.0,7.0,72.0,,Piso,Bueno / Habitable,,1,4.0,3,1.0,,0.0,1.0,,,1979.0,,"Individual, frío/calor",Privado,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Indomio.com,2024-11-20,No indicado,-,1.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Normal,
165000.0,,75.0,17.0,171,F,Piso,Bueno / Habitable,Sí,1,3.0,1,1.0,,1.0,0.0,,"Individual, por radiadores, de gas",1971.0,4.0,"Individual, frío",Sin jardín,,1.0,Libre,,medio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Cocina independiente,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,Indomio.com,2024-11-20,Disponible,-,0.0,,,,,,,,,55,,,,,,,0.0,0.0,0.0,0.0,,independiente,Normal,
240000.0,,225.0,10.0,105.0,G,Piso,Bueno / Habitable,Parcialmente amueblado,1,4.0,3,0.0,,1.0,0.0,,"Individual, por radiadores, de gas",1971.0,6.0,"Individual, frío",Privado,1.0,,,,medio,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Cocina independiente,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,Indomio.com,2024-11-20,Disponible,-,1.0,,,,,,,,,60,,,,,,,0.0,0.0,0.0,0.0,,independiente,Normal,
950000.0,,120.0,4.0,46.0,,Piso,Bueno / Habitable,,2,2.0,2,,,0.0,1.0,,,1966.0,,"Individual, frío/calor",Sin jardín,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,Indomio.com,2024-11-20,No indicado,-,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Normal,
770000.0,,130.0,1.0,14.0,,Piso,Bueno / Habitable,,4,2.0,2,,,0.0,1.0,,,1905.0,,,Sin jardín,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,Indomio.com,2024-11-20,No indicado,-,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Desconocido,
2800000.0,,650.0,8.0,87.0,D,Chalet,Bueno / Habitable,,,4.0,3+,1.0,1 en garaje privado,,,,Individual,,3.0,Individual,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,Indomio.com,2024-11-20,Disponible,-,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Normal,
650000.0,,76.0,5.0,54.0,E,Piso,,,6,1.0,1,,,0.0,1.0,,,,,,Sin jardín,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,Indomio.com,2024-11-20,Disponible,-,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Desconocido,
450000.0,,98.0,18.0,183.0,,Piso,Bueno / Habitable,No,1,3.0,2,,1 en aparcamiento/garaje público,1.0,1.0,,Individual,2010.0,,,Sin jardín,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,Indomio.com,2024-11-20,No indicado,-,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Desconocido,
210000.0,,75.0,13.0,132.0,B,Piso,Bueno / Habitable,No,1,2.0,1,,,1.0,,,Individual,,,,Sin jardín,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,Indomio.com,2024-11-20,Disponible,-,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Desconocido,
370000.0,,55.0,7.0,72.0,F,Piso,Bueno / Habitable,No,1,2.0,1,,,,1.0,,,,,,Sin jardín,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,Indomio.com,2024-11-20,Disponible,-,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Desconocido,
4500000.0,,420.0,4.0,41.0,,Piso,Bueno / Habitable,,6,6.0,3+,,,0.0,1.0,,,,,"Individual, frío/calor",Sin jardín,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,Indomio.com,2024-11-20,No indicado,-,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Normal,
1480000.0,,491.0,1.0,16.0,,Casa,,,,4.0,3+,0.0,,0.0,0.0,,,,,,Privado,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,Indomio.com,2024-11-20,No indicado,-,1.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Desconocido,
2290000.0,,322.0,7.0,74.0,,Piso,Bueno / Habitable,,1,4.0,3+,1.0,,0.0,1.0,,,,,"Individual, frío/calor",Sin jardín,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,Indomio.com,2024-11-20,No indicado,-,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Normal,
1495000.0,,182.0,4.0,45.0,,Piso,Bueno / Habitable,,4,4.0,3+,1.0,,0.0,1.0,,,1979.0,,"Individual, frío/calor",Sin jardín,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,Indomio.com,2024-11-20,No indicado,-,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Normal,
1350000.0,,247.0,5.0,51.0,,Piso,Para reformar,,3,4.0,3,1.0,,1.0,1.0,,,1957.0,,,Sin jardín,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,Indomio.com,2024-11-20,No indicado,-,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Desconocido,
1399000.0,,330.0,5.0,54.0,,Piso,Bueno / Habitable,,9,5.0,3+,1.0,,0.0,1.0,,,1961.0,,"Individual, frío/calor",Sin jardín,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,Indomio.com,2024-11-20,No indicado,-,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Normal,
2200000.0,,365.0,5.0,54.0,,Piso,Para reformar,,2,7.0,3+,1.0,,1.0,1.0,,,1962.0,,"Individual, frío/calor",Sin jardín,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,Indomio.com,2024-11-20,No indicado,-,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Normal,
1100000.0,,153.0,5.0,55.0,,Piso,Bueno / Habitable,,3,3.0,2,,,0.0,1.0,,,1950.0,,"Individual, frío/calor",Sin jardín,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,Indomio.com,2024-11-20,No indicado,-,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,sin_informacion,Normal,
