url;m2_constr;estado;amueblado;planta;codigo_postal;certificado_energetico;orientacion_este;orientacion_oeste;orientacion_sur;orientacion_norte;latitud;longitud;num_personas;total_transacciones;viv_nuevas_transacciones;lineas_metro;renta_bruta_media_por_persona;tamano_medio_del_hogar;tam_hogar;hog_con_10;hog_con_15_y_más;m2_areasverdes;ins_comunitaria;energia;eficiencia_carpinteria;precio_mean_b;pm_tlogia_distrito;euro_m2_barrio;total_estaciones;habitaciones;m2_por_hab;atrib_lujo;atrib;serv_barrio;cod_barrio_frecuency;tipologia_Atico;tipologia_Casa;tipologia_Chalet;tipologia_Duplex;tipologia_Estudio;tipologia_Piso;antiguedad_10_30;antiguedad_30_50;antiguedad_5_10;antiguedad_Desconocido;antiguedad_mas_50;antiguedad_menos_5;tipo_inmueble_Desconocido;tipo_inmueble_económico;tipo_inmueble_lujo;tipo_inmueble_medio;tipo_inmueble_señorial;aire_Eficiente;aire_Normal;aire_Sin_Aire;tipo_suelo_Baldosa;tipo_suelo_Desconocido;tipo_suelo_Gres;tipo_suelo_Madera;tipo_suelo_Otros;tipo_suelo_Piedra;tipo_suelo_Radiante;grupo_cocina_Abierta;grupo_cocina_Amueblada;grupo_cocina_Desconocido;grupo_cocina_Equipada;grupo_cocina_Independiente;grupo_cocina_Isla;grupo_cocina_No__amueblada;grupo_cocina_Reformada;grupo_cocina_Sin_reforma;precio
https://www.indomio.es/anuncios/95171247/;120.0;1;0.0;1.0;28041;1.0;0.0;0.0;0.0;0.0;40º22'9.36'' N  ;3º41'24.26'' W  ;23598;187;10;2.0;13481.0;2.8;13483.0;77.0;26.0;515144.0;1;0;0;228464.2857142857;220779.99122807017;2581.517352703793;192.0;5.0;24.0;1.0;8.0;3507.0;14;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;440000.0
https://www.redpiso.es/inmueble/piso-en-venta-en-calle-gomeznarro-canillas-hortaleza-madrid-madrid-RP582024124706;55.0;0;0.0;3.0;28043;0.0;1.0;0.0;0.0;0.0;40º28'7.23'' N  ;3º37'53.72'' W  ;39786;321;10;2.0;29047.0;2.65;19312.0;38.0;32.0;1758173.0;1;0;0;590083.3125;468240.325;4219.904499404052;341.0;3.0;18.333333333333332;1.0;4.0;3934.0;48;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;178000.0
https://www.pisos.com/comprar/piso-recoletos28001-45865318562_100500/;175.0;0;1.0;1.0;28001;0.0;0.0;1.0;0.0;0.0;40º25'19.05'' N ;3º40'53.05'' W  ;15444;243;8;6.0;38751.0;2.28;24741.0;11.0;30.0;333527.0;0;0;0;2447176.2189054727;1750994.5573394496;11869.17668066213;205.0;5.0;35.0;2.0;4.0;7681.0;201;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1830000.0
https://www.indomio.es/anuncios/96590939/;96.0;0;0.0;3.0;28014;1.0;0.0;0.0;0.0;0.0;40º24'44.8'' N  ;3º41'37.98'' W  ;10816;180;0;7.0;27030.0;1.99;34155.0;43.0;48.0;223280.0;0;0;0;972655.5555555555;860668.2390194075;6711.134044937194;210.0;4.0;24.0;1.0;7.0;3240.0;117;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;797000.0
https://www.pisosmadrid.com.es/propiedad/4086665-piso-en-venta-en-ibiza-madrid;70.0;0;0.0;3.0;28009;0.0;0.0;0.0;0.0;0.0;40º25'1.9'' N   ;3º40'41.21'' W  ;21492;257;0;4.0;33396.0;2.39;16179.0;10.0;13.0;1427833.0;0;0;0;1369155.8828828828;1303538.2723004695;10167.018119899762;146.0;4.0;17.5;0.0;3.0;1250.0;111;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;520000.0
https://www.pisosmadrid.com.es/propiedad/4074020-adosado-en-venta-en-prosperidad-madrid;200.0;0;1.0;0.0;28002;0.0;0.0;0.0;0.0;0.0;40º26'29.76'' N ;3º40'13.18'' W  ;36027;383;43;7.0;42678.0;2.45;20435.0;32.0;45.0;214209.0;0;0;0;1031553.9213483146;2195000.0;5883.638746475262;296.0;5.0;40.0;2.0;4.0;1920.0;89;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1550000.0
https://www.pisos.com/comprar/piso-concepcion-45912486367_101000/;73.0;2;0.0;3.0;28027;0.0;0.0;0.0;0.0;0.0;40º26'34.75'' N ;3º38'49.31'' W  ;20941;254;0;5.0;22440.0;2.46;28853.0;62.0;46.0;572705.0;0;0;0;585977.2727272727;382814.41592920356;4669.141615356755;287.0;4.0;18.25;1.0;4.0;3792.0;22;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;360000.0
https://www.pisos.com/comprar/piso-hortaleza_canillas28043-44266407274_100500/;90.0;2;0.0;1.0;28043;0.0;0.0;0.0;0.0;0.0;40º28'7.23'' N  ;3º37'53.72'' W  ;39786;321;10;2.0;29047.0;2.65;19312.0;38.0;32.0;1758173.0;0;0;0;590083.3125;468240.325;4219.904499404052;341.0;3.0;30.0;1.0;3.0;3934.0;48;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;337000.0
https://www.indomio.es/anuncios/96908119/;99.0;0;0.0;6.0;28018;1.0;0.0;0.0;0.0;0.0;40º23'25.94'' N ;3º38'58.4'' W   ;28741;308;56;1.0;13354.0;2.66;26108.0;123.0;50.0;1558120.0;0;0;0;184480.9090909091;177165.24092409242;2472.482485531526;321.0;5.0;19.8;2.0;7.0;1012.0;44;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;285000.0
https://www.pisos.com/comprar/piso-justicia_chueca28004-47572965221_100500/;153.0;2;0.0;2.0;28004;0.0;0.0;1.0;0.0;0.0;40º25'8.76'' N  ;3º41'48.96'' W  ;18219;323;0;7.0;27030.0;1.99;34155.0;43.0;48.0;223280.0;2;0;0;1375740.251572327;860668.2390194075;9029.999174372522;210.0;8.0;19.125;0.0;4.0;3240.0;159;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1224000.0
