,url,title,precio,dormitorios,banos,m2_constr,descripcion_extendida,referencia,tipologia,piscina,garaje,jardin,fecha_publicacion,n.visitas,calefaccion,trastero,amueblado,chimenea,videoportero,alarma,aire_acondicionado,zona,barrio,distrito,cod_distrito,cod_barrio,cod_barrio_2,codigo_Postal,web,fecha_descarga
637,https://www.pisosmadrid.com.es/propiedad/4056171-piso-en-venta-en-centro-madrid,"Piso en venta en Centro, Madrid",314.700 €,0 Dormitorio(s),0 Baño(s),101 ,"Piso 0 dormitorios, 0 baños, 0 garajes, Para reformar, en Madrid, Madrid Piso de 101 m² en venta, situado Madrid., Construido en 2004, este piso dispone de una superficie de 101 m² y se distribuye en salón-comedor, cocin...",4056171,Piso,0.0,0.0,0.0,2024-10-07,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Centro,,Centro,1,,,,pisosmadrid,24/10/2024
638,https://www.pisosmadrid.com.es/propiedad/4056173-piso-en-venta-en-centro-madrid,"Piso en venta en Centro, Madrid",295.000 €,2 Dormitorio(s),1 baño,86 ,"Piso 2 dormitorios, 1 baños, 0 garajes, Para reformar, en Madrid, Madrid <br/>INMUEBLE EN RENTABILIDAD NO SE PUEDE VISITAR SE VENDE CON UN ALQUILER EN CURSO COMPRA IDEAL PARA INVERSION<br/><br/><br/><br/>Piso de 86 m² en...",4056173,Piso,0.0,0.0,0.0,2024-10-07,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Centro,,Centro,1,,,,pisosmadrid,24/10/2024
639,https://www.pisosmadrid.com.es/propiedad/4056174-apartamento-en-venta-en-centro-madrid,"Apartamento en venta en Centro, Madrid",250.000 €,3 Dormitorio(s),1 baño,0 ,"Apartamento 3 dormitorios, 1 baños, 0 garajes, Para reformar, en Madrid, Madrid Ubicado en el barrio de Opañel, Carabanchel. Piso de 100 m2 construidos, distribuido en salón-comedor, cocina, 3 habitaciones y 2 baños. La ...",4056174,Apartamento,0.0,0.0,0.0,2024-10-07,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Centro,Opañel,Carabanchel,11,112,2,28019,pisosmadrid,24/10/2024
640,https://www.pisosmadrid.com.es/propiedad/4056175-piso-en-venta-en-centro-madrid,"Piso en venta en Centro, Madrid",249.000 €,0 Dormitorio(s),0 Baño(s),121 ,"Piso 0 dormitorios, 0 baños, 0 garajes, Para reformar, en Madrid, Madrid INMUEBLE OCUPADO POR TERCERO SIN TITULO NO ES POSIBLE VISITAR SE VENDE EN SU SITUACION VIVIENDA NO FINANCIABLE COMPRA IDEAL PARA INVERSION<br/><br/...",4056175,Piso,0.0,0.0,0.0,2024-10-07,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Centro,,Centro,1,,,,pisosmadrid,24/10/2024
641,https://www.pisosmadrid.com.es/propiedad/4056178-piso-en-venta-en-centro-madrid,"Piso en venta en Centro, Madrid",226.000 €,3 Dormitorio(s),1 baño,100 ,"Piso 3 dormitorios, 1 baños, 0 garajes, Para reformar, en Madrid, Madrid Piso de 100 m² en venta, situado en Madrid. Construido en 1967, este piso cuenta con una superficie de 100 m² y se distribuye en salón, cocina, 3 d...",4056178,Piso,0.0,0.0,0.0,2024-10-07,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Centro,,Centro,1,,,,pisosmadrid,24/10/2024
642,https://www.pisosmadrid.com.es/propiedad/4056179-piso-en-venta-en-canillas-madrid,"Piso en venta en Canillas, Madrid",240.000 €,0 Dormitorio(s),0 Baño(s),56 ,"Piso 0 dormitorios, 0 baños, 0 garajes, Para reformar, en Madrid, Madrid Ubicado en el barrio de Canillas, Madrid. Magnífico piso de 56 m2 construidos, distribuido en salón-comedor con cocina abierta, tendedero, 1 habita...",4056179,Piso,0.0,0.0,0.0,2024-10-07,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canillas,Canillas,Hortaleza,16,163,3,28043,pisosmadrid,24/10/2024
643,https://www.pisosmadrid.com.es/propiedad/4056182-piso-en-venta-en-centro-madrid,"Piso en venta en Centro, Madrid",269.000 €,3 Dormitorio(s),1 baño,102 ,"Piso 3 dormitorios, 1 baños, 0 garajes, Para reformar, en Madrid, Madrid INMUEBLE EN RENTABILIDAD SE VENDE CON UN ALQUILER EN CURSO EL CUAL NO PERMITE VISITAR<br/><br/><br/><br/>Pisos de Obra Nueva en alquiler en Madrid....",4056182,Piso,0.0,0.0,0.0,2024-10-07,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Centro,,Centro,1,,,,pisosmadrid,24/10/2024
644,https://www.pisosmadrid.com.es/propiedad/4056185-apartamento-en-venta-en-ventas-madrid,"Apartamento en venta en Ventas, Madrid",345.200 €,3 Dormitorio(s),2 Baño(s),0 ,"Apartamento 3 dormitorios, 2 baños, 0 garajes, Para reformar, en Madrid, Madrid Ubicado en el Barrio de Ventas, Madrid. Piso recién reformado distribuido en salón-comedor con cocina abierta, 3 habitaciones, 2 baños y 2 t...",4056185,Apartamento,0.0,0.0,0.0,2024-10-07,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ventas,Ventas,Ciudad Lineal,15,151,1,28027,pisosmadrid,24/10/2024
645,https://www.pisosmadrid.com.es/propiedad/4056186-piso-en-venta-en-madrid,Piso en venta en Madrid,340.000 €,0 Dormitorio(s),0 Baño(s),80 ,"Piso 0 dormitorios, 0 baños, 0 garajes, Para reformar, en Madrid, Madrid Oportunidad sólo para inversores. El activo se encuentra ocupado por persona sin justo título. Debido al estado ocupacional del activo, no se puede...",4056186,Piso,0.0,0.0,0.0,2024-10-07,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,sol,Centro,1,16,6,28013,pisosmadrid,24/10/2024
646,https://www.pisosmadrid.com.es/propiedad/4056506-piso-en-venta-en-numancia-madrid,"Piso en venta en Numancia, Madrid",124.000 €,1 ,1 baño,42 ,"Piso 1 dormitorios, 1 baños, 0 garajes, Buen estado, en Madrid, Madrid Novamadrid vende este acogedor piso ubicado en Vallecas, ideal para aquellos que buscan comodidad y servicios a su alcance. <br/><br/>La vivienda cue...",4056506,Piso,0.0,0.0,0.0,2024-10-07,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Numancia,Numancia,Puente de Vallecas,13,136,6,28038,pisosmadrid,24/10/2024
647,https://www.pisosmadrid.com.es/propiedad/4056509-piso-en-venta-en-villaverde-alto-madrid,"Piso en venta en Villaverde Alto, Madrid",185.000 €,3 Dormitorio(s),1 baño,65 ,"Piso 3 dormitorios, 1 baños, 0 garajes, Buen estado, en Madrid, Madrid Inmodomun servicios inmobiliarios ofrece en exclusiva Este encantador piso de 65 m², ubicado en la luminosa primera planta, es perfecto para familias...",4056509,Piso,0.0,0.0,0.0,2024-10-07,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Villaverde Alto,,Villaverde,17,,,,pisosmadrid,24/10/2024
648,https://www.pisosmadrid.com.es/propiedad/4056566-piso-en-venta-en-madrid,Piso en venta en Madrid,395.000 €,2 Dormitorio(s),2 Baño(s),73 ,"Piso 2 dormitorios, 2 baños, 0 garajes, Reformado, en Madrid, Madrid CAOLVES VENDE precioso piso totalmente reformado, 2 dormitorios principal en suite con vestidor, 2 baños completos, cocina totalmente equipada abierta ...",4056566,Piso,0.0,0.0,0.0,2024-10-07,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,,,,,,,pisosmadrid,24/10/2024
649,https://www.pisosmadrid.com.es/propiedad/4057220-piso-en-venta-en-malasana-madrid,"Piso en venta en Malasaña, Madrid",265.000 €,1 ,1 baño,51 ,"Vende Direct ofrece:"" Piso en venta en zona de Centro"" .Excelente ubicación, en Malasaña.~La vivienda es exterior con doble ventanas que dan a la calle y se sitúa en la entreplanta  de un edificio de 124 años de Antigüed...",4057220,Piso,0.0,0.0,0.0,2024-10-08,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Malasana,,Centro,1,,,,pisosmadrid,24/10/2024
