OBJECTID,IDPOSTE,FECHAACTUAL,MODO,CODIGOESTACION,CODIGOPOSTE,OBSERVACIONES,IDENTIFICATIVO,CODIGOTIPOPOSTE,CODIGOEMPRESA,CODIGODARSENA,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,CODIGOMUNICIPIO,CODIGOPROVINCIA,FECHAMAQUETACIONTIRA,FECHACOLOCACIONTIRA,IDFESTACION
784,6_255_*,20240628,6,255,*,,PS,6,100,,20030101,,,439729.0303,4470658.2409,079,28,2003/01/01 00:00:00+00,,6_255
785,6_256_*,20240628,6,256,*,,PS,6,100,,20030101,,,439715.4258,4470412.7409,079,28,2003/01/01 00:00:00+00,,6_256
786,6_257_*,20240628,6,257,*,,PS,6,100,,20230112,,,439615.4971,4470174.14489,079,28,2003/01/01 00:00:00+00,,6_257
787,6_258_*,20240628,6,258,*,,PS,6,100,,20030101,,,439631.9296,4469907.5682,079,28,2003/01/01 00:00:00+00,,6_258
788,6_259_*,20240628,6,259,*,,PS,6,100,,20080929,,,439634.296,4469498.474,079,28,2003/01/01 00:00:00+00,,6_259
789,6_260_*,20240628,6,260,*,,PS,6,100,,20080929,,,439630.384,4469285.068,079,28,2003/01/01 00:00:00+00,,6_260
790,6_261_*,20240628,6,261,*,,PS,6,100,,20100906,,,439629.685,4469125.586,079,28,2003/01/01 00:00:00+00,,6_261
791,6_262_*,20240628,6,262,*,,PS,6,100,,20030101,,,439362.1805,4469090.0864,079,28,2003/01/01 00:00:00+00,,6_262
792,6_263_*,20240628,6,263,*,,PS,6,100,,20100906,,,439359.581,4469435.059,079,28,2003/01/01 00:00:00+00,,6_263
793,6_264_*,20240628,6,264,*,,PS,6,100,,20030101,,,439363.3773,4469617.5864,079,28,2003/01/01 00:00:00+00,,6_264
794,6_265_*,20240628,6,265,*,,PS,6,100,,20120217,,,439556.051,4469664.742,079,28,2003/01/01 00:00:00+00,,6_265
795,6_266_*,20240628,6,266,*,,PS,6,100,,20230112,,,439644.41643,4469951.80778,079,28,2003/01/01 00:00:00+00,,6_266
796,6_268_*,20240628,6,268,*,,PS,6,100,,20030101,,,439722.9547,4470373.7409,079,28,2003/01/01 00:00:00+00,,6_268
797,6_269_*,20240628,6,269,*,,PS,6,100,,20100903,,,439737.183,4470595.107,079,28,2003/01/01 00:00:00+00,,6_269
798,6_270_*,20240628,6,270,*,,PS,6,100,,20030101,,,440023.3186,4470716.9957,079,28,2003/01/01 00:00:00+00,,6_270
799,6_271_*,20240628,6,271,*,,PS,6,100,,20030101,,,440468.1623,4470741.8048,079,28,2003/01/01 00:00:00+00,,6_271
800,6_272_*,20240628,6,272,*,,PS,6,100,,20030101,,,440702.6679,4470732.9957,079,28,2003/01/01 00:00:00+00,,6_272
801,6_273_*,20240628,6,273,*,,PS,6,100,,20030101,,,440691.91,4470940.0864,079,28,2003/01/01 00:00:00+00,,6_273
