target,m2_constr,cod_barrio,amueblado,codigo_postal,num_personas,total_transacciones,viv_nuevas_transacciones,lineas_metro,renta_bruta_media_por_persona,habitantes,tamano_medio_del_hogar,hog_con_10,ins_comunitaria,eficiencia_carpinteria,cod_barrio_group,tipologia_Atico,tipologia_Casa,tipologia_Chalet,tipologia_Estudio,tipologia_Piso,ant_5_10,tipo_inmueble_Desconocido,tipo_inmueble_económico,tipo_inmueble_lujo,tipo_inmueble_medio,clasificacion_aire_Normal,tipo_suelo_Gres,total_estaciones,habitaciones,atrib_lujo,atrib,serv_barrio
0.007790511225900649,0.02015775728759197,0.5980392144896194,0.0,0.31481481435236625,0.5751695148916539,0.4061442789654452,0.0928853741149682,0.0,0.0,0.9029635886751577,0.807228942081579,0.8823529996972332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.546012257371373,0.1428571486734696,0.2857142857142857,0.23076923076923078,0.13175370758294785
0.03598713422294369,0.01928133310513789,0.3088235307280853,0.1,0.16666666092592589,0.2634337049653168,0.3996752620905287,0.06719367731998625,1.0,0.8041194725071374,0.41909653921035006,0.26506025102337044,0.13235294693987903,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.09202454725808248,0.1071428609693879,0.14285714285714285,0.39230769230769236,0.8983205546880377
0.04553679222902646,0.026292726382912506,0.2941176495717993,0.0,0.25925925870113165,0.3158510326786677,0.33498509334136395,0.00592885305636707,1.0,0.8041194725071374,0.41909653921035006,0.26506025102337044,0.13235294693987903,0.0,0.0,0.74999999625,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09202454725808248,0.17857143852040852,0.14285714285714285,0.15384615384615385,0.8983205546880377
0.11791315094958214,0.044259423305298286,0.024509794467993007,0.0,0.22222222174382714,0.09684104742575103,0.15773404316249023,0.017786561060405565,0.75,0.46637566030182537,0.42603640058360875,0.0,0.2941176665657444,0.0,0.0,0.74999999625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.20552147478640512,0.17857143852040852,0.0,0.15384615384615385,0.4218200960834764
0.013118214894407504,0.006573181823050656,0.25490196296222606,0.0,0.3518518478652263,0.28048673302254445,0.37250539023051893,0.009881422195394394,0.625,0.32519437346222946,0.5211026884153106,0.42168676299172575,0.4926470869755629,0.0,0.0,0.74999999625,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1073619663818735,0.03571428341836727,0.0,0.23076923076923078,0.5651608037669749
0.03322276003514182,0.035056969116743414,0.397058829871684,0.0,0.12962963473251027,0.338618004736696,0.42943274020782485,0.1739130395085066,0.625,0.7924566901232379,0.3421309876091495,0.7108434004717663,0.1691176658120679,0.0,0.0,0.74999999625,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6932515199781705,0.2142857219387758,0.14285714285714285,0.3076923076923077,0.1980211024529878
0.004448129202822653,0.008326030187958815,0.8382353174524224,0.0,0.5555555651234567,0.32942535886341595,0.17843489014152855,0.003952568486853408,0.0,0.1361342169097562,0.3222145626454135,0.746987975939904,0.17647060596885855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06441718633219137,0.07142857326530619,0.14285714285714285,0.3076923076923077,0.0
0.0006785280376382825,0.005258546549588657,0.5588235449682816,0.0,0.4629629565843621,0.369437794604489,0.22630560590132473,0.03359683833390617,0.125,0.00433089694062222,0.440351330081972,0.9759036388445346,0.5441176741025093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1503067529346229,0.07142857326530619,0.14285714285714285,0.46153846153846156,0.45658119474276193
0.031463611964247934,0.016871166557924665,0.019607834760668907,0.0,0.25925925870113165,0.4612754339975965,0.7916976593374312,0.05928853708540986,0.75,0.46637566030182537,0.42603640058360875,0.0,0.2941176665657444,0.0,0.0,0.74999999625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.20552147478640512,0.07142857326530619,0.14285714285714285,0.46153846153846156,0.4218200960834764
0.34408928969860547,0.1345311157347907,0.1960784330478662,0.0,0.018518513096707767,0.2316961294039992,0.23665603093046983,0.011857707090995014,0.75,1.0,0.4499445312823859,0.554216888503411,0.21323530675281172,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4693251617524179,0.28571428877551036,0.2857142857142857,0.23076923076923078,0.2499674774840027
0.06765179347571205,0.030236636022316965,0.3088235307280853,1.0,0.16666666092592589,0.2634337049653168,0.3996752620905287,0.06719367731998625,1.0,0.8041194725071374,0.41909653921035006,0.26506025102337044,0.13235294693987903,0.0,0.625,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09202454725808248,0.1428571486734696,0.14285714285714285,0.38461538461538464,0.8983205546880377
0.015078408102635537,0.015994742375470584,0.6568627391147634,0.0,0.5370370434156378,0.23256950456190464,0.2030171434272443,0.025691699403677604,1.0,0.2297435485921157,0.20668901923721913,0.5662650775148786,0.11764708169982752,0.0,0.0,0.24999997375000016,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.061349696004365906,0.17857143852040852,0.14285714285714285,0.23076923076923078,0.2426767581814041
0.02236630549565513,0.010955303280895121,0.16666666259803917,0.0,0.09259259131687239,0.28639311481359364,0.3181656465104993,0.003952568486853408,0.625,0.866082388864752,0.45418425841220555,0.3493976036217156,0.05882354537197268,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19018405176077374,0.07142857326530619,0.14285714285714285,0.38461538461538464,1.0
0.004473261081921535,0.025635408746181504,0.5882353072808537,0.0,0.9629629221399175,0.5000000135276969,0.5199989715298524,0.3399209550867847,0.0,0.0,0.9029635886751577,0.807228942081579,0.8823529996972332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.546012257371373,0.17857143852040852,0.14285714285714285,0.15384615384615385,0.13175370758294785
0.0046240446122442005,0.012927257464094273,0.6911764855464246,0.0,0.2962962956584362,0.906208365976793,0.9999999999999999,0.06126481969840178,0.5,0.3098485754332802,0.803484439592911,0.5662650775148786,0.43382355366241404,0.0,0.0,0.24999997375000016,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4417177878203923,0.1071428609693879,0.14285714285714285,0.07692307692307693,0.4936857365887109
