banos,cod_barrio,cod_barrio_group,cod_distrito,codigo_postal,comercio_serviciosminoristas,cultura_entretenimiento,dormitorios,hog_con_10,lineas_metro,m2_constr,num_personas,renta_bruta_media_por_persona,salud_bienestar_educacion,servicios_profesionales,target,target_log,tipo_inmueble
2.0,96,4,15,5,2470.0,917.0,2.0,11.0,6.0,95.0,16919.0,38751.0,928.0,2315.0,1149000.0,13.954402556830894,2
2.0,65,2,12,34,1504.0,552.0,2.0,44.0,3.0,70.0,28765.0,19768.0,381.0,828.0,234000.0,12.363076394339839,0
2.0,92,4,15,0,2470.0,917.0,2.0,11.0,6.0,65.0,29477.0,38751.0,928.0,2315.0,415000.0,12.936033799212836,0
3.0,101,4,16,15,693.0,220.0,4.0,32.0,7.0,325.0,24466.0,42678.0,228.0,505.0,2700000.0,14.808762330974558,2
1.0,107,1,17,27,1337.0,538.0,2.0,70.0,6.0,38.0,26573.0,22890.0,375.0,1502.0,189900.0,12.154252896800376,1
1.0,102,3,16,43,693.0,220.0,1.0,32.0,7.0,40.0,17046.0,42678.0,228.0,505.0,340000.0,12.736700896592344,2
3.0,93,3,15,26,2470.0,917.0,4.0,11.0,6.0,183.0,20929.0,38751.0,928.0,2315.0,840000.0,13.641157170819497,0
2.0,15,2,0,11,1208.0,259.0,2.0,43.0,7.0,110.0,46204.0,27030.0,137.0,582.0,0.0,-inf,0
2.0,7,3,0,12,1208.0,259.0,2.0,43.0,7.0,101.0,23501.0,27030.0,137.0,582.0,1080000.0,13.892471599100402,0
2.0,117,3,19,33,197.0,99.0,3.0,53.0,3.0,98.0,44341.0,28798.0,148.0,121.0,285000.0,12.560244459250788,0
2.0,36,3,0,14,1208.0,259.0,2.0,43.0,7.0,300.0,32783.0,27030.0,137.0,582.0,1275000.0,14.058456736574664,2
2.0,115,4,19,45,197.0,99.0,2.0,53.0,3.0,80.0,3421.0,28798.0,148.0,121.0,735000.0,13.507625778194972,0
1.0,113,4,18,2,1930.0,905.0,1.0,21.0,9.0,39.0,27163.0,36934.0,1039.0,1910.0,0.0,-inf,0
2.0,13,0,2,23,1332.0,455.0,3.0,139.0,3.0,150.0,49151.0,15239.0,298.0,854.0,0.0,-inf,0
3.0,105,3,17,19,1337.0,538.0,3.0,70.0,6.0,165.0,20570.0,22890.0,375.0,1502.0,1175000.0,13.976778705560397,2
