m2_constr;distrito;cod_distrito;barrio;cod_barrio;letra_ce;tipologia;estado;amueblado;planta;dormitorios;banos;balcon;terraza;trastero;ascensor;antiguedad;jardin;tipo_inmueble;cancha_tenis;chimenea;exterior;piscina;porton_electrico;videoportero;armarios;codigo_postal;tipo_suelo;certificado_energetico;puerta_seguridad;orientacion_este;orientacion_oeste;orientacion_sur;aire;grupo_cocina;orientacion_norte;letra_emisiones;latitud;longitud;num_personas;total_transacciones;viv_nuevas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;renta_bruta_media_por_persona;tamano_medio_del_hogar;tam_hogar;hog_con_10;hog_con_15_y_más;comercio_serviciosminoristas;hosteleria_restauracion;salud_bienestar_educacion;servicios_profesionales;cultura_entretenimiento;m2_areasverdes;ins_comunitaria;energia;eficiencia_carpinteria;num_garajes;cod_barrio_group;target;precio_mean_b;pm_tlogia_distrito;euro_m2_barrio;total_estaciones;habitaciones;m2_por_hab;atrib_lujo;atrib;serv_barrio;cod_barrio_frecuency;precio
106.0;Villaverde;17;Los Rosales;175;0;Piso;2;0.0;2.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28021;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º21'42.15'' N ;3º41'45.9'' W   ;34827;9;1;1;4;0;5;193;13604;2.82;14009;78;28;139;64;45;79;54;711123;0;0;0;1;1;260000;175014.0;167689.4;2112.9834;202;5;21.2;1;3.0;381;50;260000
73.0;Hortaleza;16;Apostol Santiago;165;3;Piso;0;0.0;3.0;1;1;0;0;0;1;mas_50;0;medio;0;0;1;0;0;0;1;28033;Desconocido;1;0;0;0;0;Normal;Independiente;0;3;40º28'49.83'' N ;3º39'34.06'' W  ;15435;138;8;2;9;6;1;325;29047;2.65;19312;38;32;1114;603;596;1135;486;1758173;1;0;0;1;2;265000;327146.66;481471.5;3879.2095;341;2;36.5;1;6.0;3934;15;265000
79.0;Hortaleza;16;Valdefuentes;166;4;Piso;2;1.0;1.0;2;2;0;0;1;1;10_30;2;Desconocido;0;0;1;0;0;0;1;28055;Desconocido;1;0;0;0;0;Normal;Desconocido;0;4;40º29'21.45'' N ;3º40'20.75'' W  ;69176;674;262;2;9;6;1;325;29047;2.65;19312;38;32;1114;603;596;1135;486;1758173;1;0;0;1;5;425000;1011412.2;481471.5;4680.8022;341;4;19.75;4;8.0;3934;69;425000
565.0;Fuencarral-El Pardo;8;Pilar;84;0;Casa;5;0.0;0.0;6;5;0;0;0;1;Desconocido;0;lujo;0;0;1;0;0;0;1;28029;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º28'42.73'' N ;3º42'24.64'' W  ;45610;396;115;3;14;2;5;448;28798;2.67;23923;53;48;197;95;148;121;99;2811379;0;0;0;1;2;2905000;305615.75;2106750.0;3734.212;469;11;51.363636;1;3.0;660;38;2905000
309.0;Chamberí;7;Almagro;74;0;Piso;2;0.0;3.0;4;5;1;0;1;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28010;Desconocido;0;0;0;0;0;Normal;Desconocido;0;0;40º25'36.89'' N ;3º41'31.6'' W   ;19418;310;34;9;22;0;0;151;36934;2.21;25648;21;39;1930;1116;1039;1910;905;19677;2;0;0;1;5;3700000;2368570.0;1373545.5;10201.327;173;9;34.333332;2;5.0;6900;126;3700000
73.0;Moratalaz;14;Fontarrón;145;0;Piso;3;0.0;3.0;2;2;0;0;1;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28013;Desconocido;0;0;1;0;0;Desconocido;Desconocido;0;0;40º24'20.96'' N ;3º39'23.67'' W  ;17333;158;13;9;4;0;0;159;20091;2.46;11265;19;10;752;245;237;309;321;486635;1;0;0;1;2;265000;262037.88;275158.28;2895.931;163;4;18.25;2;4.0;1864;33;265000
30.0;Usera;12;Almendrales;124;0;Piso;2;0.0;1.0;1;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28026;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º23'14.07'' N ;3º42'2.03'' W   ;22834;135;21;2;4;0;2;186;13481;2.8;13483;77;26;1495;565;267;689;491;515144;0;0;0;1;1;214000;226296.17;224598.0;3122.5933;192;3;10.0;1;3.0;3507;34;214000
185.0;Chamartín;5;Nueva España;55;0;Piso;1;0.0;9.0;4;3;0;0;1;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28016;Desconocido;0;0;0;0;1;Desconocido;Desconocido;0;0;40º27'53.32'' N ;3º40'54.53'' W  ;24466;186;26;7;20;0;1;275;42678;2.45;20435;32;45;693;274;228;505;220;214209;2;0;0;1;5;1070000;1502470.9;1120715.5;6819.482;296;7;26.428572;2;4.0;1920;103;1070000
49.0;Chamartín;5;Prosperidad;52;0;Piso;0;0.0;1.0;3;2;0;0;0;0;mas_50;0;Desconocido;0;0;1;0;0;0;1;28002;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º26'29.76'' N ;3º40'13.18'' W  ;36027;383;43;7;20;0;1;275;42678;2.45;20435;32;45;693;274;228;505;220;214209;0;0;0;1;5;260000;996143.7;1120715.5;5847.313;296;5;9.8;1;2.0;1920;103;260000
276.0;Chamartín;5;Hispanoamérica;54;4;Piso;2;0.0;6.0;5;5;1;1;0;1;30_50;0;lujo;0;0;1;0;0;0;1;28016;Desconocido;1;0;0;0;0;Normal;Desconocido;0;4;40º27'26.56'' N ;3º39'55.32'' W  ;31470;311;12;7;20;0;1;275;42678;2.45;20435;32;45;693;274;228;505;220;214209;2;0;0;1;5;1950000;1321864.5;1120715.5;7069.4688;296;10;27.6;2;8.0;1920;112;1950000
143.0;Salamanca;4;Goya;42;0;Atico;0;0.0;6.0;2;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28001;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'21.71'' N ;3º40'48.03'' W  ;29477;478;4;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;1250000;1480537.9;1924147.5;10122.084;205;4;35.75;1;3.0;7681;346;1250000
150.0;Chamberí;7;Trafalgar;73;0;Piso;2;0.0;5.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28010;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'52.48'' N ;3º42'10.85'' W  ;24621;376;0;9;22;0;0;151;36934;2.21;25648;21;39;1930;1116;1039;1910;905;19677;0;0;0;1;5;1250000;1113238.8;1373545.5;8274.553;173;5;30.0;1;3.0;6900;93;1250000
124.0;Puente De Vallecas;13;Portazgo;135;3;Piso;2;0.0;4.0;3;2;0;0;0;1;30_50;0;Desconocido;0;0;1;0;0;0;1;28018;Desconocido;1;0;0;0;0;Desconocido;Desconocido;0;3;40º23'25.94'' N ;3º38'58.4'' W   ;28741;308;56;1;7;0;3;311;13354;2.66;26108;123;50;423;137;90;189;173;1558120;0;0;0;1;1;250000;183641.16;174892.8;2438.678;321;5;24.8;1;6.0;1012;56;250000
127.0;Centro;1;Palacio;11;0;Piso;0;1.0;2.0;2;2;0;0;0;1;mas_50;0;Desconocido;0;0;1;0;0;0;1;28013;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º24'37.23'' N ;3º42'42.73'' W  ;23501;258;33;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;4;700000;862438.4;870158.06;6941.3525;210;4;31.75;0;4.0;3240;211;700000
214.0;Villaverde;17;Villaverde Alto;171;0;Casa;4;0.0;0.0;4;2;0;0;1;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28021;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º19'22.54'' N ;3º41'33.28'' W  ;47817;11;0;1;4;0;5;193;13604;2.82;14009;78;28;139;64;45;79;54;711123;0;0;0;1;1;460000;218009.73;312250.0;2441.1577;202;6;35.666668;2;3.0;381;85;460000
141.0;Centro;1;Universidad;15;4;Piso;0;0.0;4.0;2;2;0;1;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28015;Desconocido;1;0;0;0;0;Desconocido;Amueblada;0;4;40º25'32.9'' N  ;3º42'30.72'' W  ;32783;613;30;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;2;0;0;4;898000;724757.8;870158.06;6883.6953;210;4;35.25;1;8.0;3240;325;898000
796.0;Chamartín;5;El Viso;51;0;Chalet;0;0.0;0.0;6;7;0;0;0;1;mas_50;0;Desconocido;0;0;1;0;0;0;1;28002;Desconocido;0;0;1;0;0;Normal;Independiente;0;0;40º26'53.58'' N ;3º41'6.87'' W   ;17274;184;6;7;20;0;1;275;42678;2.45;20435;32;45;693;274;228;505;220;214209;0;2;0;1;5;5500000;2036813.5;2726054.0;8183.374;296;13;61.23077;1;3.0;1920;116;5500000
130.0;Retiro;3;Adelfas;32;0;Atico;0;0.0;5.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28007;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º24'7.29'' N  ;3º40'23.31'' W  ;18832;117;1;4;8;0;0;138;33396;2.39;16179;10;13;408;160;169;349;164;1427833;0;0;0;1;3;750000;552521.75;1833523.8;5544.5024;146;5;26.0;1;3.0;1250;23;750000
76.0;Salamanca;4;Recoletos;41;0;Piso;0;1.0;2.0;2;2;0;0;0;1;mas_50;0;lujo;0;0;1;0;0;0;1;28001;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'19.05'' N ;3º40'53.05'' W  ;15444;243;8;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;829000;2479820.2;1769842.4;11784.251;205;4;19.0;1;4.0;7681;262;829000
39.0;Arganzuela;2;Delicias;25;1;Piso;1;0.0;3.0;2;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28045;Otros;0;0;0;0;0;Desconocido;Desconocido;0;1;40º23'43.44'' N ;3º41'20.3'' W   ;28575;246;18;4;9;0;4;186;27431;2.31;23071;17;13;1151;633;494;969;454;547811;0;2;0;1;3;160000;387298.1;404461.3;4807.038;199;3;13.0;1;4.0;3701;58;160000
133.0;Centro;1;Justicia;14;0;Piso;4;0.0;1.0;3;3;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28004;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'8.76'' N  ;3º41'48.96'' W  ;18219;323;0;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;5;1150000;1360566.5;870158.06;9035.9375;210;6;22.166666;0;3.0;3240;206;1150000
80.0;Latina;10;Lucero;103;0;Piso;0;0.0;2.0;3;1;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28047;Madera;0;0;0;0;1;Desconocido;Desconocido;0;0;40º24'11.4'' N  ;3º45'23.25'' W  ;36749;396;63;3;10;2;5;307;17267;2.49;30102;82;31;1223;499;366;628;523;1047962;2;0;0;1;1;199000;195350.0;244581.98;2635.8171;324;4;20.0;1;4.0;3239;44;199000
35.0;Centro;1;Embajadores;12;0;Piso;0;0.0;2.0;1;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28012;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º24'36.91'' N ;3º42'16.42'' W  ;46204;750;9;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;3;190000;474367.94;870158.06;5945.187;210;2;17.5;0;3.0;3240;205;190000
100.0;Tetuán;6;Berruguete;66;0;Piso;2;0.0;1.0;3;1;0;1;1;1;30_50;0;Desconocido;0;0;2;0;0;0;4;28039;Gres;0;0;0;0;0;Normal;Desconocido;0;0;40º27'35.2'' N  ;3º41'58.58'' W  ;25694;269;34;6;12;0;0;166;22890;2.34;25992;70;28;1337;589;375;1502;538;301635;0;2;0;1;2;335600;271995.72;576069.7;4099.597;178;4;25.0;3;7.0;4341;49;335600
140.0;Salamanca;4;Goya;42;0;Piso;0;0.0;3.0;3;3;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28001;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'21.71'' N ;3º40'48.03'' W  ;29477;478;4;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;1384000;1480537.9;1769842.4;10122.084;205;6;23.333334;1;3.0;7681;346;1384000
119.0;Retiro;3;Ibiza;34;0;Piso;4;1.0;3.0;2;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28009;Desconocido;0;0;0;0;0;Normal;Equipada;1;0;40º25'1.9'' N   ;3º40'41.21'' W  ;21492;257;0;4;8;0;0;138;33396;2.39;16179;10;13;408;160;169;349;164;1427833;0;0;0;1;5;1149000;1324904.2;1325221.9;10157.479;146;4;29.75;1;4.0;1250;143;1149000
