m2_constr;letra_ce;estado;amueblado;planta;dormitorios;banos;balcon;terraza;trastero;ascensor;jardin;cancha_tenis;chimenea;exterior;piscina;porton_electrico;videoportero;armarios;certificado_energetico;puerta_seguridad;orientacion_este;orientacion_oeste;orientacion_sur;orientacion_norte;letra_emisiones;num_personas;total_transacciones;viv_nuevas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;renta_bruta_media_por_persona;habitantes;tamano_medio_del_hogar;tam_hogar;hog_con_10;hog_con_15_y_más;comercio_serviciosminoristas;hosteleria_restauracion;salud_bienestar_educacion;servicios_profesionales;cultura_entretenimiento;m2_areasverdes;ins_comunitaria;energia;eficiencia_carpinteria;num_garajes;cod_barrio_group;precio_mean_b;total_estaciones;habitaciones;atrib_lujo;atrib;serv_barrio;url;cod_barrio;cod_distrito;codigo_postal;target
0.60240966;1;2.0;1.0;-0.5;-1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;-0.28467473;0.0;0.6969697;0.75;0.54545456;0;-0.5;-0.32407406;0.5769544;-0.12772554;-0.51428574;0.107745305;-0.5365854;0.0;0.90024936;0.67824966;2.162465;1.2858576;1.3422619;-0.34982345;0;0;5;0;0.33333334;1.5314795;-0.3490566;0.33333334;0;1.0;1.4775939;https://www.indomio.es/anuncios/95939105/;74;7;28010;1.0806075
-0.18072289;0;0.5;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;-0.39875254;-0.6307054;0.060606062;0.75;-1.0909091;0;-0.5;-0.25;-0.40422928;-0.9009267;0.2;-1.6008554;-0.58536583;-1.45;-0.56857854;-0.44272843;-0.084033616;-0.31995988;-0.39583334;0.0;0;0;0;0;-0.6666667;-0.50038135;-0.44339624;0.6666667;0;0.0;-0.5555107;https://www.pisos.com/comprar/piso-fontarron-47522681248_100500/;145;14;28030;-0.14135514
-0.45783132;2;-0.5;0.0;0.0;-1;-1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;-0.19981398;-0.2614108;-0.27272728;0.0;0.18181819;0;0.0;0.0;0.6828032;0.0;-0.31428573;0.0;-0.7804878;-0.45;1.5735661;0.5945946;1.8515406;1.6920762;1.3779762;-0.114701584;0;3;0;0;0.33333334;0.5331793;-0.047169812;-0.33333334;0;1.0;1.7928946;https://www.indomio.es/anuncios/96874559/;45;4;28006;0.028037382
0.3493976;0;-0.5;0.0;2.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5897029;0.38589212;4.878788;-1.25;-0.8181818;0;1.0;1.1574074;-0.7966911;1.6336366;0.7714286;0.16239011;1.9512196;0.55;-0.978803;-0.5817246;-0.49579832;-0.44032097;-0.83630955;0.80270636;0;0;0;0;-1.0;-0.60726935;1.0471698;0.6666667;0;-0.5;-0.89947516;https://www.pisos.com/comprar/piso-puente_de_vallecas_entrevias28053-42585791226_100200/;131;13;28053;-0.38785046
-0.3493976;0;-0.5;0.0;-0.5;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.091098;1.9253112;0.6060606;-0.25;-0.18181819;1;-0.5;0.7962963;-0.26738903;1.2715148;0.2;0.48847708;0.46341464;0.35;0.0037406483;-0.09266409;0.53781515;0.4222668;0.30357143;0.06447954;0;0;0;0;-0.6666667;-0.47655147;0.7264151;0.0;0;-1.0;0.22285022;https://www.indomio.es/anuncios/96543375/;152;15;28017;-0.3843458
-0.40963855;0;0.0;0.0;0.5;-1;-1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;-1.1599277;-1.186722;-0.33333334;-0.75;-0.18181819;2;2.0;2.425926;0.10299429;1.7501533;0.8;-0.09717272;0.24390244;0.45;-1.2605985;-0.63577867;-0.33333334;-0.50852555;-1.0565476;1.7415892;0;2;0;0;0.33333334;0.17905733;2.4433963;-0.33333334;1;0.0;-1.0415826;https://www.redpiso.es/inmueble/piso-en-venta-en-plaza-pico-salvaguardia-penagrande-fuencarral-el-pardo-madrid-madrid-RP722024130086;81;8;28048;-0.31542057
18.987951;0;1.0;0.0;-1.0;6;11;0;0;0;0;2;1;1;1;2;0;0;0;0;0;1;0;0;0;0;-1.1599277;-1.186722;-0.33333334;-0.75;-0.18181819;2;2.0;2.425926;0.10299429;1.7501533;0.8;-0.09717272;0.24390244;0.45;-1.2605985;-0.63577867;-0.33333334;-0.50852555;-1.0565476;1.7415892;0;0;0;0;0.33333334;0.17905733;2.4433963;6.0;6;0.0;-1.0415826;https://www.pisos.com/comprar/chalet-fuencarral_el_pardo_el_pardo28023-46668989227_102100/;81;8;28048;9.959112
3.3975904;0;0.5;0.0;-1.0;4;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.4377632;1.5103735;7.6060605;-1.0;-0.6363636;6;0.0;1.287037;0.11749971;0.8975368;0.74285716;-0.64492756;-0.12195122;-0.35;-0.11720698;0.018018018;0.92156863;0.50852555;0.0952381;0.9525762;0;0;0;0;0.33333334;0.14178282;1.235849;1.6666666;3;-0.5;0.28017762;https://www.indomio.es/anuncios/95285937/;166;16;28055;2.0035048
-0.43373495;0;2.0;0.0;0.5;-2;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.22673306;0.19917013;-0.060606062;-0.75;-0.54545456;0;-0.5;0.8240741;-0.42304555;0.26432613;0.6857143;-0.95402706;0.024390243;-0.65;0.3690773;0.19305019;0.31932774;0.2006018;0.29166666;0.38155508;0;0;0;0;-0.33333334;-0.42335695;0.7075472;-0.6666667;0;-0.5;0.30843762;https://www.pisos.com/comprar/piso-san_blas_simancas28037-4570959880_109700/;201;20;28037;-0.25116822
0.012048192;0;0.5;0.0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.20200251;-0.22821577;-0.3030303;0.0;0.18181819;0;0.0;0.0;0.6828032;0.0;-0.31428573;0.0;-0.7804878;-0.45;1.5735661;0.5945946;1.8515406;1.6920762;1.3779762;-0.114701584;0;0;0;0;0.0;-0.0874972;-0.047169812;0.33333334;0;-0.5;1.7928946;https://www.indomio.es/anuncios/96910895/;43;4;28028;0.17628504
