m2_constr,cod_barrio,estado,amueblado,planta,codigo_postal,certificado_energetico,orientacion_este,orientacion_oeste,orientacion_sur,orientacion_norte,num_personas,total_transacciones,viv_nuevas_transacciones,lineas_metro,renta_bruta_media_por_persona,habitantes,tamano_medio_del_hogar,tam_hogar,hog_con_10,hog_con_15_y_más,m2_areasverdes,ins_comunitaria,energia,eficiencia_carpinteria,cod_barrio_group,tipologia_Atico,tipologia_Casa,tipologia_Chalet,tipologia_Duplex,tipologia_Estudio,tipologia_Piso,antiguedad_Desconocido,ant_10_30,ant_30_50,ant_5_10,ant_mas_50,ant_menos_5,tipo_inmueble_Desconocido,tipo_inmueble_económico,tipo_inmueble_lujo,tipo_inmueble_medio,tipo_inmueble_señorial,clasificacion_aire_Eficiente,clasificacion_aire_Normal,clasificacion_aire_Sin Aire,tipo_suelo_Baldosa,tipo_suelo_Desconocido,tipo_suelo_Gres,tipo_suelo_Madera,tipo_suelo_Otros,tipo_suelo_Piedra,tipo_suelo_Radiante,grupo_cocina_Abierta,grupo_cocina_Amueblada,grupo_cocina_Desconocido,grupo_cocina_Equipada,grupo_cocina_Independiente,grupo_cocina_Isla,grupo_cocina_No amueblada,grupo_cocina_Reformada,grupo_cocina_Sin reforma,total_estaciones,habitaciones,atrib_lujo,atrib,serv_barrio,target
-0.18072289,0.9518072,0.5,0.0,0.0,0.5591398,0,0,0,0,0,-0.39875254,-0.6386555,0.09090909,0.75,-0.40422928,-0.9009267,0.2,-1.6008554,-0.58536583,-1.45,0.0,0,0,0,-0.6666667,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44339624,0.6666667,0,0.0,-0.5555107,-0.14135514
-0.45783132,-0.25301206,-0.5,0.0,0.0,-0.47311828,1,0,0,0,0,-0.19981398,-0.2647059,-0.24242425,0.0,0.6828032,0.0,-0.31428573,0.0,-0.7804878,-0.45,-0.114701584,0,3,0,0.33333334,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,-0.047169812,-0.33333334,0,1.0,1.7928946,0.028037382
0.3493976,0.78313255,-0.5,0.0,2.0,1.548387,0,0,0,0,0,0.5897029,0.3907563,4.909091,-1.25,-0.7966911,1.6336366,0.7714286,0.16239011,1.9512196,0.55,0.80270636,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471698,0.6666667,0,-0.5,-0.89947516,-0.38785046
-0.3493976,1.0361446,-0.5,0.0,-0.5,0.0,0,0,0,0,0,2.091098,1.9495798,0.6363636,-0.25,-0.26738903,1.2715148,0.2,0.48847708,0.46341464,0.35,0.06447954,0,0,0,-0.6666667,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7264151,0.0,0,-1.0,0.22285022,-0.3843458
-0.40963855,0.18072289,0.0,0.0,0.5,1.3333334,0,0,1,0,1,-1.1599277,-1.2016807,-0.3030303,-0.75,0.10299429,1.7501533,0.8,-0.09717272,0.24390244,0.45,1.7415892,0,2,0,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4433963,-0.33333334,1,0.0,-1.0415826,-0.31542057
18.987951,0.18072289,1.0,0.0,-1.0,1.3333334,0,1,0,0,0,-1.1599277,-1.2016807,-0.3030303,-0.75,0.10299429,1.7501533,0.8,-0.09717272,0.24390244,0.45,1.7415892,0,0,0,0.33333334,0,0,1,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,2.4433963,6.0,6,0.0,-1.0415826,9.959112
3.3975904,1.2048193,0.5,0.0,-1.0,1.6344086,0,0,0,0,0,2.4377632,1.5294118,7.6363635,-1.0,0.11749971,0.8975368,0.74285716,-0.64492756,-0.12195122,-0.35,0.9525762,0,0,0,0.33333334,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.235849,1.6666666,3,-0.5,0.28017762,2.0035048
-0.43373495,1.626506,2.0,0.0,0.5,0.86021507,0,0,0,0,0,0.22673306,0.20168068,-0.030303031,-0.75,-0.42304555,0.26432613,0.6857143,-0.95402706,0.024390243,-0.65,0.38155508,0,0,0,-0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7075472,-0.6666667,0,-0.5,0.30843762,-0.25116822
0.012048192,-0.27710843,0.5,0.0,2.5,0.47311828,0,0,0,0,0,-0.20200251,-0.23109244,-0.27272728,0.0,0.6828032,0.0,-0.31428573,0.0,-0.7804878,-0.45,-0.114701584,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047169812,0.33333334,0,-0.5,1.7928946,0.17628504
0.4939759,-0.60240966,0.5,0.0,1.5,-0.17204301,0,0,0,0,0,-0.9004213,-0.78571427,-0.030303031,0.25,0.0,-0.10246321,-1.1428572,1.1183178,0.0,0.45,-0.19729364,0,0,0,0.0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.3189251
0.26506025,-0.6506024,-0.5,0.0,0.0,-0.21505377,0,0,0,0,0,1.180883,1.8487395,-0.030303031,0.25,0.0,-0.10246321,-1.1428572,1.1183178,0.0,0.45,-0.19729364,0,0,0,-0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.33333334,-1,-0.5,0.0,-0.11098131
0.90361446,0.10843374,0.5,0.1,0.0,-0.60215056,1,1,0,0,0,0.13908191,0.29411766,1.3333334,0.75,0.5769544,-0.12772554,-0.51428574,0.107745305,-0.5365854,0.0,-0.34982345,0,0,0,0.33333334,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3490566,0.6666667,2,1.55,1.4775939,0.9053738
-0.6987952,-0.38554215,1.0,0.0,0.5,-0.34408602,0,0,0,0,0,-0.17119877,-0.22268908,-0.3030303,-0.5,0.37084934,-0.47328973,0.0,-1.0171062,-0.80487806,-1.3,0.7051014,0,3,0,0.33333334,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6037736,-0.33333334,0,-0.5,-0.8033912,-0.14602804
3.2771084,-0.37349397,0.5,0.0,0.5,-0.12903225,0,0,0,0,0,-0.97368276,-0.9579832,-0.3030303,-0.5,0.37084934,-0.47328973,0.0,-1.0171062,-0.80487806,-1.3,0.7051014,0,0,0,0.33333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,-0.6037736,1.3333334,0,0.5,-0.8033912,4.421729
