hog_con_10;total_transacciones;habitaciones;cod_barrio;renta_bruta_media_por_persona;codigo_postal;cod_distrito;viv_nuevas_transacciones;tamano_medio_del_hogar;lineas_metro;m2_areasverdes;total_estaciones;estado;energia;atrib;planta;ins_comunitaria;num_personas;tam_hogar;atrib_lujo;habitantes;serv_barrio;m2_por_hab;m2_constr;pm_tlogia_distrito;hog_con_15_y_más;amueblado;eficiencia_carpinteria;precio_mean_b;cod_barrio_frecuency;url;certificado_energetico;orientacion_este;orientacion_oeste;orientacion_sur;orientacion_norte;tipologia_Atico;tipologia_Casa;tipologia_Chalet;tipologia_Duplex;tipologia_Estudio;tipologia_Piso;antiguedad_10_30;antiguedad_30_50;antiguedad_5_10;antiguedad_Desconocido;antiguedad_mas_50;antiguedad_menos_5;tipo_inmueble_Desconocido;tipo_inmueble_económico;tipo_inmueble_lujo;tipo_inmueble_medio;tipo_inmueble_señorial;aire_Desconocido;aire_Eficiente;aire_Normal;aire_Sin_Aire;tipo_suelo_Baldosa;tipo_suelo_Desconocido;tipo_suelo_Gres;tipo_suelo_Madera;tipo_suelo_Otros;tipo_suelo_Piedra;tipo_suelo_Radiante;grupo_cocina_Abierta;grupo_cocina_Amueblada;grupo_cocina_Desconocido;grupo_cocina_Equipada;grupo_cocina_Independiente;grupo_cocina_Isla;grupo_cocina_No_amueblada;grupo_cocina_Reformada;grupo_cocina_Sin_reforma;target
-0.7804878;-0.22821577;0.33333334;-0.27710843;0.6828032;0.45833334;-0.25;-0.3181818;-0.4857143;0.0;-0.11470139;-0.047169812;-0.5;0;-0.5;2.6666667;0;-0.20280142;0.0;0;0.0;1.7928946;0.34438777;0.44512194;1.1724856;-0.45;0.0;0;-0.06697249;-0.07746479;https://www.pisos.com/comprar/atico-fuente_del_berro28028-39237374887_100500/;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.2869725
-0.58536583;-0.6307054;0.6666667;0.9518072;-0.40422928;0.5416667;1.0;0.045454547;0.028571429;0.75;0.0;-0.44339624;0.5;0;0.0;0.0;0;-0.4003296;-1.6008554;0;-0.9009267;-0.5555107;-0.83120745;-0.18902439;-0.53923243;-1.45;0.0;0;-0.4943349;-0.43661973;https://www.pisos.com/comprar/piso-fontarron-47522681248_100500/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.14581937
-0.5365854;0.27385893;0.33333334;0.084337346;0.5769544;-0.29166666;0.125;-0.34848484;-0.6857143;0.75;-0.3498232;-0.3490566;1.5;0;1.0;0.6666667;0;0.0;0.107745305;0;-0.12772554;1.4775939;0.5229592;0.56707317;0.4656844;0.0;0.0;0;0.27062786;0.0070422534;https://www.indomio.es/anuncios/95824195/;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.46195573
0.8292683;-0.7261411;0.33333334;0.6987952;-0.7892928;0.375;0.75;0.28787878;1.0;-1.0;0.021357616;-0.16981132;-0.5;0;-1.0;0.0;0;-0.09815985;-1.3373723;1;-0.05035432;0.107791685;-0.99489796;-0.4695122;-0.555297;-0.65;0.0;0;-0.5314769;-0.3802817;https://www.indomio.es/anuncios/96834715/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.36163202
0.46341464;1.9253112;0.0;1.0361446;-0.26738903;0.0;1.125;0.59090906;0.028571429;-0.25;0.06447964;0.7264151;-0.5;0;-1.0;-0.6666667;0;2.0993683;0.48847708;0;1.2715148;0.22285022;-0.52614796;-0.3597561;-0.4411803;0.35;0.0;0;-0.47034216;0.14084508;https://www.indomio.es/anuncios/96543375/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.38846278
-0.7804878;0.69709545;0.6666667;-0.28915662;0.6828032;-0.6666667;-0.25;-0.22727273;-0.4857143;0.0;-0.11470139;-0.047169812;1.5;0;1.0;0.6666667;0;0.2667399;0.0;1;0.0;1.7928946;-0.39965987;0.16463415;0.80409455;-0.45;1.0;0;0.63643306;1.7394366;https://www.indomio.es/anuncios/96611743/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1.1782204
0.24390244;-1.186722;6.0;0.18072289;0.10299429;1.2916666;0.25;-0.34848484;0.62857145;-0.75;1.74159;2.4433963;1.0;0;0.0;-1.3333334;0;-1.1645153;-0.09717272;6;1.7501533;-1.0415826;4.7275047;19.213415;1.2099574;0.45;0.0;0;0.18924661;0.64084506;https://www.pisos.com/comprar/chalet-fuencarral_el_pardo_el_pardo28023-46668989227_102100/;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;9.940214
-0.7804878;-0.5020747;0.6666667;-0.24096386;0.6828032;-0.45833334;-0.25;-0.25757575;-0.4857143;0.0;-0.11470139;-0.047169812;0.5;0;2.0;0.0;0;-0.42307058;0.0;0;0.0;1.7928946;-0.6972789;-0.07926829;0.80409455;-0.45;1.0;0;1.4765955;1.2042253;https://www.indomio.es/anuncios/95285551/;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.19948088
-0.80487806;0.07883818;-0.6666667;-0.42168674;0.37084934;-0.41666666;-0.375;-0.1969697;-0.17142858;-0.5;0.7051017;-0.6037736;0.5;0;-0.5;0.0;0;0.46174127;-1.0171062;0;-0.47328973;-0.8033912;-0.28061223;-0.7134146;0.46076757;-1.3;0.0;0;-0.3002971;-0.35211268;https://www.pisos.com/comprar/apartamento-retiro_pacifico28007-45841143087_993066/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.29630494
-0.7804878;-0.2780083;1.6666666;-0.30120483;0.6828032;-0.6666667;-0.25;-0.10606061;-0.4857143;0.0;-0.11470139;-0.047169812;1.5;3;0.0;2.0;0;-0.5040923;0.0;0;0.0;1.7928946;2.9832766;5.006098;0.80409455;-0.45;0.0;0;1.6328065;1.2323943;https://www.pisos.com/comprar/piso-recoletos28001-44214332909_996542/;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;10.873458
-0.7804878;-0.2614108;0.0;-0.25301206;0.6828032;-0.45833334;-0.25;-0.28787878;-0.4857143;0.0;-0.11470139;-0.047169812;0.5;0;-0.5;2.0;0;-0.20060423;0.0;0;0.0;1.7928946;-0.7270408;-0.4695122;0.80409455;-0.45;0.0;0;0.5819122;0.49295774;https://www.pisos.com/comprar/piso-lista_barrio28006-45905938646_100500/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.116655484
0.0;1.8257262;0.33333334;-0.6506024;0.0;-0.20833333;-0.625;-0.07575758;-1.3142858;0.25;-0.19729331;0.0;0.5;0;-0.5;-0.6666667;0;1.1855534;1.1183178;-1;-0.10246321;0.0;-0.7091837;-0.27439025;0.0;0.45;0.0;0;-0.29233158;0.8028169;https://www.pisos.com/comprar/piso-centro_embajadores_lavapies28012-45008382576_100200/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.1679839
-0.5365854;0.29045644;0.6666667;0.10843374;0.5769544;-0.5833333;0.125;1.2878788;-0.6857143;0.75;-0.3498232;-0.3490566;0.5;0;1.55;0.0;0;0.13963197;0.107745305;2;-0.12772554;1.4775939;0.5080782;0.9085366;0.4656844;0.0;0.1;0;0.17905279;-0.16901408;https://www.indomio.es/anuncios/96846409/;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.8994138
-0.2682927;-0.5228216;0.6666667;-0.18072289;0.91156936;-0.625;-0.125;-0.16666667;0.0;0.25;-0.20408888;0.8113208;0.5;0;-0.5;-0.6666667;0;-0.40357044;-0.51152295;4;-0.015433361;-0.5329027;3.4693878;3.3353658;0.24914116;0.3;0.0;0;1.148182;0.16901408;https://www.indomio.es/anuncios/96189307/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.7574732
-0.80487806;-0.9460581;1.0;-0.37349397;0.37084934;-0.125;-0.375;-0.34848484;-0.17142858;-0.5;0.7051017;-0.6037736;0.5;2;0.5;2.6666667;0;-0.97753364;-1.0171062;0;-0.47328973;-0.8033912;1.1734694;1.8963414;0.46076757;-1.3;0.0;6;1.8492861;-0.08450704;https://www.pisos.com/comprar/piso-jeronimos28014-39205210312_100500/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;3.5241623
-0.5365854;0.27385893;1.0;0.084337346;0.5769544;-0.29166666;0.125;-0.34848484;-0.6857143;0.75;-0.3498232;-0.3490566;-0.5;0;0.0;0.0;0;0.0;0.107745305;0;-0.12772554;1.4775939;0.0;0.7743902;0.4656844;0.0;0.0;0;0.27062786;0.0070422534;https://www.indomio.es/anuncios/96650429/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.72443056
0.85365856;0.10788382;0.6666667;1.3012048;-0.78212744;0.16666667;1.375;1.7121212;1.0571429;-1.25;0.16817597;-0.0754717;0.5;0;-0.5;1.3333334;0;0.7243614;-1.2748872;0;0.22717361;-1.1542188;-0.78656465;-0.15243903;-0.64213246;-0.55;0.0;0;-0.5886156;-0.34507042;https://www.pisos.com/comprar/piso-villaverde_los_angeles28041-41678376162_100200/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.372131
-0.2682927;0.004149378;2.0;-0.14457831;0.91156936;-0.041666668;-0.125;0.015151516;0.0;0.25;-0.20408888;0.8113208;0.5;0;0.0;-1.3333334;0;0.37621534;-0.51152295;1;-0.015433361;-0.5329027;-0.36989796;1.1158537;1.1017787;0.3;0.0;0;0.6638063;0.1056338;https://www.indomio.es/anuncios/96586045/;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1.1327248
0.024390243;0.041493777;-0.33333334;1.6987952;-0.42304555;0.8333333;1.75;-0.25757575;0.51428574;-0.75;0.38155508;0.7075472;0.5;3;1.5;0.0;0;0.24421862;-0.95402706;1;0.26432613;0.30843762;-0.36989796;-0.50609756;-0.56386876;-0.65;0.0;6;-0.43237808;-0.18309858;https://www.pisos.com/comprar/piso-san_blas_canillejas28022-48378577556_998861/;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;-0.36863133
